Instance,m,n,Objective,Distance,Time,Flag,Gap,ElapsedTime,AlgFlag
2_5,2,5,75.5919,51.1838,1.55459,1,0,0.169971,0
2_6,2,6,68.4019,36.8039,1.3701,1,0,0.171274,0
2_7,2,7,123.973,47.9462,1.63199,1,0,0.315382,0
2_8,2,8,78.4441,56.8882,2.00554,1,0,0.187878,0
2_9,2,9,76.9759,53.9518,1.89879,1,0,0.564696,0
2_10,2,10,89.0347,78.0695,2.57674,1,0,20.8193,0
2_11,2,11,88.7719,77.5438,2.6136,1,0,52.5892,0
2_12,2,12,139.202,78.4043,2.81011,1,0,6.63337,0
2_13,2,13,141.528,83.0556,3.07639,1,8.96E-05,2626.55,0
2_14,2,14,143.885,87.7693,3.1859,1,0,68.1873,0
2_15,2,15,140.127,80.2533,2.923,1,0,103.534,0
2_16,2,16,142.732,85.464,3.14493,1,0,128.37,0
2_17,2,17,142.09,84.1801,3.2545,1,0,355.58,0
2_18,2,18,150.121,100.243,3.67274,1,0,970.441,0
2_19,2,19,260.083,120.166,4.28747,0,0.00854929,7200.08,0
2_20,2,20,155.571,111.142,3.97022,1,8.91E-05,6969.84,0
3_5,3,5,70.7504,41.5007,1.42918,1,0,0.329052,0
3_6,3,6,131.693,63.3858,1.98465,1,0,1.22035,0
3_7,3,7,75.158,50.3161,1.59957,1,0,1.26687,0
3_8,3,8,127.795,55.5907,1.93977,1,0,2.99702,0
3_9,3,9,126.755,53.5098,1.95441,1,0,1.93688,0
3_10,3,10,139.567,79.1349,2.6117,1,0,27.5183,0
3_11,3,11,128.049,56.099,2.17747,1,0,8.17801,0
3_12,3,12,139.369,78.738,2.68512,1,0,195.383,0
3_13,3,13,131.445,62.8907,2.4306,1,0,14.5635,0
3_14,3,14,139.758,79.5162,2.72124,1,0,23.0205,0
3_15,3,15,193.277,86.5535,3.26384,1,0,264.827,0
3_16,3,16,146.99,93.9797,3.40783,1,8.64E-05,942.445,0
3_17,3,17,195.446,90.8929,3.40566,1,0,1517.32,0
3_18,3,18,197.599,95.1974,3.5216,1,0,888.736,0
3_19,3,19,196.829,93.6571,3.61643,1,8.14E-05,728.266,0
3_20,3,20,197.101,94.2014,3.43004,1,9.65E-05,1609.81,0
4_5,4,5,67.3024,34.6048,1.19012,1,0,0.175232,0
4_6,4,6,78.0244,56.0488,1.75122,1,0,0.297915,0
4_7,4,7,78.1791,56.3583,1.86729,1,0,0.56935,0
4_8,4,8,69.6393,39.2787,1.5403,1,0,1.41156,0
4_9,4,9,133.777,67.5543,2.26386,1,0,2.19194,0
4_10,4,10,135.094,70.187,2.32134,1,0,3.61644,0
4_11,4,11,131.347,62.6934,2.29233,1,1.66E-12,58.921,0
4_12,4,12,132.337,64.6747,2.46687,1,0,32.472,0
4_13,4,13,137.106,74.2122,2.76364,1,0,29.9121,0
4_14,4,14,188.982,77.9643,2.98244,1,0,74.0819,0
4_15,4,15,139.143,78.2859,2.89881,1,0,194.502,0
4_16,4,16,141.963,83.9254,3.20647,1,0,187.174,0
4_17,4,17,140.538,81.0761,3.01857,1,0,193.257,0
4_18,4,18,143.261,86.5212,3.17136,1,0,145.963,0
4_19,4,19,196.391,92.7819,3.56955,0,0.26394,7200.08,0
4_20,4,20,196.163,92.3251,3.59146,0,0.259218,7200.09,0
