Instance,m,n,Objective,Distance,Time,TotalIteration,Elapsed Time,AlgFlag
NYC_2_030,2,30,180.413,60.8261,2.87065,20000,14.5541,1
NYC_2_030,2,30,181.252,62.5041,2.9126,20000,17.5323,2
NYC_2_030,2,30,179.88,59.7595,2.84399,20000,27.8659,3
NYC_2_030,2,30,180.295,60.5895,2.86474,20000,15.0976,1
NYC_2_030,2,30,180.253,60.5066,2.86267,20000,13.7123,2
NYC_2_030,2,30,180.025,60.0492,2.85123,20000,26.2351,3
NYC_2_030,2,30,179.671,59.3428,2.83357,20000,14.536,1
NYC_2_030,2,30,179.855,59.7092,2.84273,20000,16.3702,2
NYC_2_030,2,30,178.893,57.786,2.79465,20000,27.7704,3
NYC_2_030,2,30,179.939,59.8779,2.84695,20000,14.2215,1
NYC_2_030,2,30,180.083,60.1668,2.85417,20000,15.9645,2
NYC_2_030,2,30,179.952,59.9038,2.8476,20000,23.8953,3
NYC_2_030,2,30,179.671,59.3428,2.83357,20000,14.4933,1
NYC_2_030,2,30,181.873,63.7469,2.94367,20000,16.1744,2
NYC_2_030,2,30,180.136,60.2716,2.85679,20000,25.7301,3
NYC_2_030,2,30,182.678,65.3568,2.98392,20000,14.5288,1
NYC_2_030,2,30,180.413,60.8261,2.87065,20000,16.1656,2
NYC_2_030,2,30,180.704,61.4084,2.88521,20000,26.5703,3
NYC_2_030,2,30,179.28,58.56,2.814,20000,11.434,1
NYC_2_030,2,30,180.555,61.1109,2.87777,20000,14.3477,2
NYC_2_030,2,30,179.612,59.2231,2.83058,20000,27.5949,3
NYC_2_030,2,30,179.759,59.5184,2.83796,20000,15.1033,1
NYC_2_030,2,30,181.53,63.0597,2.92649,20000,17.6261,2
NYC_2_030,2,30,179.03,58.0602,2.8015,20000,26.7338,3
NYC_2_030,2,30,179.866,59.7324,2.84331,20000,16.4077,1
NYC_2_030,2,30,180.059,60.1184,2.85296,20000,13.9419,2
NYC_2_030,2,30,181.638,63.2758,2.9319,20000,27.6579,3
NYC_2_030,2,30,179.09,58.1792,2.80448,20000,14.505,1
NYC_2_030,2,30,179.28,58.56,2.814,20000,13.7845,2
NYC_2_030,2,30,179.939,59.8779,2.84695,20000,25.0944,3
NYC_2_060,2,60,205.117,110.234,5.36418,20000,21.9478,1
NYC_2_060,2,60,205.566,111.132,5.38663,20000,24.9818,2
NYC_2_060,2,60,250.434,100.868,5.13002,20000,63.2939,3
NYC_2_060,2,60,246.319,92.6388,4.9243,20000,23.8391,1
NYC_2_060,2,60,245.894,91.7882,4.90304,20000,31.1117,2
NYC_2_060,2,60,249.632,99.2634,5.08992,20000,57.7725,3
NYC_2_060,2,60,201.653,103.306,5.19098,20000,20.892,1
NYC_2_060,2,60,248.101,96.2017,5.01338,20000,30.1345,2
NYC_2_060,2,60,246.413,92.8262,4.92899,20000,60.8884,3
NYC_2_060,2,60,206.361,112.721,5.42637,20000,22.7979,1
NYC_2_060,2,60,205.966,111.931,5.40662,20000,25.6059,2
NYC_2_060,2,60,207.024,114.048,5.45952,20000,58.2902,3
NYC_2_060,2,60,202.125,104.249,5.21457,20000,25.8607,1
NYC_2_060,2,60,205.48,110.96,5.38233,20000,25.3916,2
NYC_2_060,2,60,246.873,93.7463,4.95199,20000,82.5201,3
NYC_2_060,2,60,200.233,100.465,5.11996,20000,23.7166,1
NYC_2_060,2,60,248.675,97.3506,5.0421,20000,32.3957,2
NYC_2_060,2,60,253.489,106.977,5.28277,20000,56.2519,3
NYC_2_060,2,60,246.265,92.5302,4.92159,20000,25.6155,1
NYC_2_060,2,60,244.829,89.6577,4.84977,20000,25.3425,2
NYC_2_060,2,60,215.594,131.188,5.88803,20000,55.3555,3
NYC_2_060,2,60,206.433,112.866,5.42998,20000,21.5542,1
NYC_2_060,2,60,249.713,99.4255,5.09397,20000,25.3075,2
NYC_2_060,2,60,248.122,96.2431,5.01441,20000,62.5342,3
NYC_2_060,2,60,248.006,96.0123,5.00864,20000,32.8837,1
NYC_2_060,2,60,206.93,113.859,5.45482,20000,25.3969,2
NYC_2_060,2,60,210.305,120.61,5.62359,20000,55.0403,3
NYC_2_060,2,60,208.511,117.022,5.53389,20000,20.7009,1
NYC_2_060,2,60,204.115,108.229,5.31406,20000,26.2144,2
NYC_2_060,2,60,205.353,110.705,5.37597,20000,55.4213,3
NYC_2_100,2,100,380.995,161.99,8.81641,20000,36.8589,1
NYC_2_100,2,100,373.624,147.248,8.44787,20000,41.2271,2
NYC_2_100,2,100,376.531,153.063,8.59323,20000,108.391,3
NYC_2_100,2,100,371.852,143.705,8.35929,20000,32.1371,1
NYC_2_100,2,100,382.379,164.759,8.88563,20000,38.7381,2
NYC_2_100,2,100,376.798,153.596,8.60656,20000,112.568,3
NYC_2_100,2,100,374.316,148.633,8.48248,20000,34.9334,1
NYC_2_100,2,100,371.05,142.101,8.31918,20000,47.2573,2
NYC_2_100,2,100,379.627,159.255,8.74803,20000,114.712,3
NYC_2_100,2,100,374.757,149.514,8.50452,20000,37.6998,1
NYC_2_100,2,100,376.582,153.163,8.59575,20000,39.0424,2
NYC_2_100,2,100,373.455,146.91,8.43941,20000,109.956,3
NYC_2_100,2,100,370.979,141.959,8.31563,20000,32.2192,1
NYC_2_100,2,100,380.496,160.993,8.79148,20000,39.008,2
NYC_2_100,2,100,376.796,153.592,8.60647,20000,120.675,3
NYC_2_100,2,100,376.31,152.619,8.58215,20000,31.9674,1
NYC_2_100,2,100,376.17,152.341,8.57519,20000,45.876,2
NYC_2_100,2,100,381.901,163.803,8.86174,20000,108.648,3
NYC_2_100,2,100,367.069,134.138,8.12012,20000,32.6404,1
NYC_2_100,2,100,372.1,144.2,8.37168,20000,42.2231,2
NYC_2_100,2,100,375.658,151.315,8.54954,20000,113.132,3
NYC_2_100,2,100,375.356,150.712,8.53445,20000,32.8998,1
NYC_2_100,2,100,375.978,151.956,8.56556,20000,47.0274,2
NYC_2_100,2,100,376.94,153.88,8.61367,20000,109.028,3
NYC_2_100,2,100,377.693,155.386,8.65131,20000,39.1896,1
NYC_2_100,2,100,372.791,145.582,8.40621,20000,50.5515,2
NYC_2_100,2,100,382.405,164.811,8.88694,20000,115.349,3
NYC_2_100,2,100,375.812,151.624,8.55727,20000,34.1987,1
NYC_2_100,2,100,371.473,142.946,8.34031,20000,40.7429,2
NYC_2_100,2,100,380.207,160.415,8.77704,20000,112.02,3
NYC_2_150,2,150,558.431,216.862,12.6466,20000,60.6902,1
NYC_2_150,2,150,557.302,214.605,12.5901,20000,90.4249,2
NYC_2_150,2,150,520.926,241.852,13.2713,20000,220.402,3
NYC_2_150,2,150,566.035,232.07,13.0268,20000,69.6713,1
NYC_2_150,2,150,556.426,212.853,12.5463,20000,106.359,2
NYC_2_150,2,150,520.883,241.766,13.2691,20000,224.202,3
NYC_2_150,2,150,555.85,211.7,12.5175,20000,66.483,1
NYC_2_150,2,150,517.695,235.39,13.1097,20000,74.9839,2
NYC_2_150,2,150,565.186,230.371,12.9843,20000,239.194,3
NYC_2_150,2,150,517.045,234.09,13.0773,20000,62.4579,1
NYC_2_150,2,150,519.674,239.348,13.2087,20000,61.1325,2
NYC_2_150,2,150,557.869,215.737,12.6184,20000,209.29,3
NYC_2_150,2,150,510.925,221.849,12.7712,20000,57.1337,1
NYC_2_150,2,150,528.896,257.792,13.6698,20000,63.258,2
NYC_2_150,2,150,521.23,242.461,13.2865,20000,205.081,3
NYC_2_150,2,150,515.822,231.644,13.0161,20000,77.7133,1
NYC_2_150,2,150,557.886,215.771,12.6193,20000,62.9185,2
NYC_2_150,2,150,532.545,265.09,13.8523,20000,201.999,3
NYC_2_150,2,150,562.347,224.695,12.8424,20000,89.1159,1
NYC_2_150,2,150,521.148,242.295,13.2824,20000,73.4436,2
NYC_2_150,2,150,592.368,184.736,11.8434,20000,261.485,3
NYC_2_150,2,150,554.487,208.973,12.4493,20000,89.9396,1
NYC_2_150,2,150,548.735,197.47,12.1617,20000,121.252,2
NYC_2_150,2,150,516.786,233.572,13.0643,20000,210.873,3
NYC_2_150,2,150,557.637,215.274,12.6069,20000,84.0252,1
NYC_2_150,2,150,555.698,211.396,12.5099,20000,105.202,2
NYC_2_150,2,150,561.818,223.636,12.8159,20000,205.219,3
