Instance,m,n,Objective,Distance,Time,TotalIteration,ElapsedTime,AlgFlag
NYC_2_030,2,30,179.635,59.2693,2.83173,20000,23.965,1
NYC_2_030,2,30,179.496,58.992,2.8248,20000,15.1805,1
NYC_2_030,2,30,178.064,56.1271,2.75318,20000,16.3195,1
NYC_2_030,2,30,178.064,56.1271,2.75318,20000,15.0022,1
NYC_2_030,2,30,179.579,59.1587,2.82897,20000,15.8315,1
NYC_2_030,2,30,179.635,59.2693,2.83173,20000,19.3065,1
NYC_2_030,2,30,178.719,57.4383,2.78596,20000,14.0753,1
NYC_2_030,2,30,179.09,58.1804,2.80451,20000,15.5936,1
NYC_2_030,2,30,178.229,56.458,2.76145,20000,13.5704,1
NYC_2_030,2,30,178.229,56.458,2.76145,20000,12.8184,1
NYC_2_060,2,60,201.316,102.631,5.17411,20000,24.6106,1
NYC_2_060,2,60,206.207,112.414,5.41869,20000,24.8454,1
NYC_2_060,2,60,204.14,108.28,5.31533,20000,24.9632,1
NYC_2_060,2,60,205.565,111.129,5.38657,20000,24.137,1
NYC_2_060,2,60,202.864,105.728,5.25154,20000,25.6601,1
NYC_2_060,2,60,203.812,107.625,5.29895,20000,24.9987,1
NYC_2_060,2,60,200.702,101.404,5.14342,20000,24.8679,1
NYC_2_060,2,60,206.301,112.603,5.4234,20000,24.5205,1
NYC_2_060,2,60,202.922,105.843,5.25442,20000,24.1671,1
NYC_2_060,2,60,207.044,114.089,5.46055,20000,24.4952,1
NYC_2_100,2,100,370.063,140.125,8.26979,20000,39.6379,1
NYC_2_100,2,100,372.424,144.848,8.38786,20000,41.1095,1
NYC_2_100,2,100,371.196,142.392,8.32646,20000,38.1116,1
NYC_2_100,2,100,372.321,144.642,8.38272,20000,45.5272,1
NYC_2_100,2,100,368.492,136.983,8.19125,20000,41.9942,1
NYC_2_100,2,100,372.767,145.534,8.40502,20000,39.9172,1
NYC_2_100,2,100,371.178,142.357,8.32559,20000,42.8215,1
NYC_2_100,2,100,372.276,144.552,8.38046,20000,41.4483,1
NYC_2_100,2,100,371.706,143.412,8.35197,20000,40.4769,1
NYC_2_100,2,100,367.86,135.719,8.15965,20000,43.0411,1
NYC_2_150,2,150,526.481,252.961,13.549,20000,89.3871,1
NYC_2_150,2,150,525.659,251.317,13.5079,20000,63.2331,1
NYC_2_150,2,150,517.345,234.69,13.0922,20000,61.3066,1
NYC_2_150,2,150,523,246.001,13.375,20000,57.9593,1
NYC_2_150,2,150,508.535,217.07,12.6517,20000,99.1694,1
NYC_2_150,2,150,516.154,232.308,13.0327,20000,71.3285,1
NYC_2_150,2,150,521.496,242.991,13.2998,20000,85.1862,1
NYC_2_150,2,150,524.136,248.272,13.4318,20000,78.2981,1
NYC_2_150,2,150,513.31,226.619,12.8905,20000,89.4662,1
NYC_2_150,2,150,519.454,238.908,13.1977,20000,65.2657,1
NYC_2_250,2,250,772.951,345.902,20.6226,20000,196.693,1
