Instance,M,N,ObjBest,ObjMean,ObjStd,DistBest,DistMean,DistStd,TimeBest,TimeMean,TimeStd,ElapseBest,ElapseMean,ElapseStd
1_5,1,5,82.3347,82.3347,0.0000,64.6694,64.6694,0.0000,2.0417,2.0417,0.0000,2.2038,2.2688,0.0772
1_6,1,6,144.5590,144.5590,0.0000,89.1171,89.1171,0.0000,2.6946,2.6946,0.0000,3.5408,3.8227,0.2644
1_7,1,7,77.1367,77.1367,0.0000,54.2733,54.2733,0.0000,1.8652,1.8652,0.0000,2.7732,2.8658,0.0947
1_8,1,8,149.0250,149.0250,0.0000,98.0493,98.0493,0.0000,3.1512,3.1512,0.0000,5.2234,5.3296,0.1411
1_9,1,9,137.2560,137.2560,0.0000,74.5128,74.5128,0.0000,2.5628,2.5628,0.0000,5.5553,5.5964,0.0307
1_10,1,10,147.9430,147.9430,0.0000,95.8851,95.8851,0.0000,3.1471,3.1471,0.0000,5.7356,5.7832,0.0292
1_11,1,11,154.8870,154.8870,0.0000,109.7750,109.7750,0.0000,3.5194,3.5194,0.0000,6.2168,6.3838,0.2047
1_12,1,12,208.1420,208.2572,0.1387,116.2850,116.5147,0.2776,3.9488,3.9545,0.0069,6.8640,7.1248,0.2809
1_13,1,13,207.9150,208.0675,0.4822,115.8300,116.1351,0.9648,3.8874,3.8950,0.0241,6.8098,7.1136,0.1766
1_14,1,14,221.8610,222.5828,1.1319,143.7210,145.1649,2.2643,4.6514,4.6875,0.0566,7.0812,7.3890,0.2010
1_15,1,15,208.5390,208.6807,0.1947,117.0790,117.3623,0.3894,3.9186,3.9257,0.0097,8.0433,8.1815,0.0776
1_16,1,16,215.3560,216.7112,0.8653,130.7120,133.4220,1.7309,4.3761,4.4439,0.0433,8.0024,8.2545,0.2983
1_17,1,17,289.8100,290.9771,0.6999,179.6190,181.9539,1.3996,5.8071,5.8655,0.0350,9.2438,9.4752,0.2807
1_18,1,18,259.7070,262.2298,1.1061,119.4140,124.4591,2.2119,4.2937,4.4198,0.0553,9.6963,10.2790,0.5670
1_19,1,19,217.4310,220.2348,1.6950,134.8620,140.4693,3.3897,4.8049,4.9451,0.0847,8.6914,8.9367,0.1353
1_20,1,20,230.7410,235.0704,3.0986,161.4830,170.1409,6.1969,5.5287,5.7452,0.1549,8.9755,9.0616,0.0514
2_5,2,5,75.5919,75.5919,0.0000,51.1838,51.1838,0.0000,1.5546,1.5546,0.0000,2.3366,2.4038,0.0701
2_6,2,6,68.4019,68.4019,0.0000,36.8039,36.8039,0.0000,1.3701,1.3701,0.0000,2.5546,2.5981,0.0324
2_7,2,7,125.5420,125.5420,0.0000,51.0834,51.0834,0.0000,1.7104,1.7104,0.0000,3.9512,4.0582,0.1604
2_8,2,8,78.4441,78.4441,0.0000,56.8882,56.8882,0.0000,2.0055,2.0055,0.0000,3.0494,3.0855,0.0235
2_9,2,9,76.9759,76.9759,0.0000,53.9518,53.9518,0.0000,1.8988,1.8988,0.0000,3.3366,3.3635,0.0208
2_10,2,10,89.0347,89.0347,0.0000,78.0695,78.0695,0.0000,2.5767,2.5767,0.0000,3.4243,3.5090,0.1135
2_11,2,11,89.4277,89.4277,0.0000,78.8554,78.8554,0.0000,2.6464,2.6464,0.0000,3.6127,3.6384,0.0150
2_12,2,12,139.2020,139.2020,0.0000,78.4043,78.4043,0.0000,2.8101,2.8101,0.0000,6.3954,6.5055,0.1134
2_13,2,13,141.5280,143.4744,0.6995,83.0556,86.9491,1.3992,3.0764,3.1737,0.0350,6.7325,6.7928,0.0348
2_14,2,14,143.8850,143.8850,0.0000,87.7693,87.7693,0.0000,3.1859,3.1859,0.0000,7.0744,7.2436,0.1805
2_15,2,15,140.1270,140.1270,0.0000,80.2533,80.2533,0.0000,2.9230,2.9230,0.0000,7.5363,7.7029,0.1071
2_16,2,16,142.7320,143.0380,0.4927,85.4640,86.0763,0.9859,3.1449,3.1602,0.0246,7.7851,8.0195,0.2651
