Instance,M,N,Objective,Distance,Time,TotalIteration,ElapsedTime,AlgFlag
1_5,1,5,82.3347,64.6694,2.04174,20000,2.22902,1
1_5,1,5,82.3347,64.6694,2.04174,20000,2.22742,1
1_5,1,5,82.3347,64.6694,2.04174,20000,2.39262,1
1_5,1,5,82.3347,64.6694,2.04174,20000,2.41156,1
1_5,1,5,82.3347,64.6694,2.04174,20000,2.2536,1
1_5,1,5,82.3347,64.6694,2.04174,20000,2.31551,1
1_5,1,5,82.3347,64.6694,2.04174,20000,2.22788,1
1_5,1,5,82.3347,64.6694,2.04174,20000,2.20517,1
1_5,1,5,82.3347,64.6694,2.04174,20000,2.20382,1
1_5,1,5,82.3347,64.6694,2.04174,20000,2.22143,1
1_6,1,6,144.559,89.1171,2.69459,20000,3.59103,1
1_6,1,6,144.559,89.1171,2.69459,20000,3.58467,1
1_6,1,6,144.559,89.1171,2.69459,20000,4.17749,1
1_6,1,6,144.559,89.1171,2.69459,20000,4.34231,1
1_6,1,6,144.559,89.1171,2.69459,20000,3.84319,1
1_6,1,6,144.559,89.1171,2.69459,20000,3.85178,1
1_6,1,6,144.559,89.1171,2.69459,20000,3.67707,1
1_6,1,6,144.559,89.1171,2.69459,20000,3.70764,1
1_6,1,6,144.559,89.1171,2.69459,20000,3.91127,1
1_6,1,6,144.559,89.1171,2.69459,20000,3.5408,1
1_7,1,7,77.1367,54.2733,1.86517,20000,2.97252,1
1_7,1,7,77.1367,54.2733,1.86517,20000,2.99316,1
1_7,1,7,77.1367,54.2733,1.86517,20000,3.01893,1
1_7,1,7,77.1367,54.2733,1.86517,20000,2.8706,1
1_7,1,7,77.1367,54.2733,1.86517,20000,2.81531,1
1_7,1,7,77.1367,54.2733,1.86517,20000,2.77317,1
1_7,1,7,77.1367,54.2733,1.86517,20000,2.81097,1
1_7,1,7,77.1367,54.2733,1.86517,20000,2.78262,1
1_7,1,7,77.1367,54.2733,1.86517,20000,2.84573,1
1_7,1,7,77.1367,54.2733,1.86517,20000,2.77541,1
1_8,1,8,149.025,98.0493,3.15123,20000,5.24451,1
1_8,1,8,149.025,98.0493,3.15123,20000,5.29969,1
1_8,1,8,149.025,98.0493,3.15123,20000,5.22336,1
1_8,1,8,149.025,98.0493,3.15123,20000,5.26365,1
1_8,1,8,149.025,98.0493,3.15123,20000,5.23602,1
1_8,1,8,149.025,98.0493,3.15123,20000,5.27661,1
1_8,1,8,149.025,98.0493,3.15123,20000,5.44078,1
1_8,1,8,149.025,98.0493,3.15123,20000,5.2234,1
1_8,1,8,149.025,98.0493,3.15123,20000,5.6631,1
1_8,1,8,149.025,98.0493,3.15123,20000,5.42505,1
1_9,1,9,137.256,74.5128,2.56282,20000,5.58832,1
1_9,1,9,137.256,74.5128,2.56282,20000,5.59239,1
1_9,1,9,137.256,74.5128,2.56282,20000,5.59136,1
1_9,1,9,137.256,74.5128,2.56282,20000,5.63983,1
1_9,1,9,137.256,74.5128,2.56282,20000,5.56685,1
1_9,1,9,137.256,74.5128,2.56282,20000,5.55527,1
1_9,1,9,137.256,74.5128,2.56282,20000,5.59811,1
1_9,1,9,137.256,74.5128,2.56282,20000,5.6496,1
1_9,1,9,137.256,74.5128,2.56282,20000,5.61386,1
1_9,1,9,137.256,74.5128,2.56282,20000,5.56863,1
1_10,1,10,147.943,95.8851,3.14713,20000,5.76818,1
1_10,1,10,147.943,95.8851,3.14713,20000,5.82242,1
1_10,1,10,147.943,95.8851,3.14713,20000,5.81951,1
1_10,1,10,147.943,95.8851,3.14713,20000,5.80673,1
1_10,1,10,147.943,95.8851,3.14713,20000,5.77381,1
1_10,1,10,147.943,95.8851,3.14713,20000,5.75421,1
1_10,1,10,147.943,95.8851,3.14713,20000,5.73561,1
1_10,1,10,147.943,95.8851,3.14713,20000,5.78457,1
1_10,1,10,147.943,95.8851,3.14713,20000,5.80365,1
1_10,1,10,147.943,95.8851,3.14713,20000,5.76319,1
1_11,1,11,154.887,109.775,3.51937,20000,6.21678,1
1_11,1,11,154.887,109.775,3.51937,20000,6.25212,1
1_11,1,11,154.887,109.775,3.51937,20000,6.62746,1
1_11,1,11,154.887,109.775,3.51937,20000,6.23977,1
1_11,1,11,154.887,109.775,3.51937,20000,6.66901,1
1_11,1,11,154.887,109.775,3.51937,20000,6.36673,1
1_11,1,11,154.887,109.775,3.51937,20000,6.24318,1
1_11,1,11,154.887,109.775,3.51937,20000,6.72138,1
1_11,1,11,154.887,109.775,3.51937,20000,6.22592,1
1_11,1,11,154.887,109.775,3.51937,20000,6.27596,1
1_12,1,12,208.636,117.273,3.97349,20000,6.99284,1
1_12,1,12,208.142,116.285,3.94879,20000,7.01422,1
1_12,1,12,208.142,116.285,3.94879,20000,7.73095,1
1_12,1,12,208.236,116.472,3.95346,20000,6.91064,1
1_12,1,12,208.236,116.472,3.95346,20000,7.16219,1
1_12,1,12,208.236,116.472,3.95346,20000,7.4739,1
1_12,1,12,208.236,116.472,3.95346,20000,6.93734,1
1_12,1,12,208.236,116.472,3.95346,20000,7.21692,1
1_12,1,12,208.236,116.472,3.95346,20000,6.86401,1
1_12,1,12,208.236,116.472,3.95346,20000,6.94473,1
1_13,1,13,207.915,115.83,3.88742,20000,7.11577,1
1_13,1,13,207.915,115.83,3.88742,20000,7.16173,1
1_13,1,13,209.44,118.881,3.96369,20000,6.80984,1
1_13,1,13,207.915,115.83,3.88742,20000,7.01586,1
1_13,1,13,207.915,115.83,3.88742,20000,7.08438,1
1_13,1,13,207.915,115.83,3.88742,20000,7.23407,1
1_13,1,13,207.915,115.83,3.88742,20000,7.09626,1
1_13,1,13,207.915,115.83,3.88742,20000,7.1084,1
1_13,1,13,207.915,115.83,3.88742,20000,7.50051,1
1_13,1,13,207.915,115.83,3.88742,20000,7.00874,1
1_14,1,14,223.849,147.697,4.75077,20000,7.48848,1
1_14,1,14,222.384,144.767,4.67751,20000,7.31487,1
1_14,1,14,221.861,143.721,4.65137,20000,7.23624,1
1_14,1,14,225.062,150.125,4.81146,20000,7.31257,1
