Instance,M,N,ObjBest,ObjMean,ObjStd,DistBest,DistMean,DistStd,TimeBest,TimeMean,TimeStd,ElapseBest,ElapseMean,ElapseStd
1_5,1,5,82.3347,82.3347,0.0000,64.6694,64.6694,0.0000,2.0417,2.0417,0.0000,4.6870,4.7478,0.0486
1_6,1,6,144.5590,144.5590,0.0000,89.1171,89.1171,0.0000,2.6946,2.6946,0.0000,5.6869,18.6626,16.6535
1_7,1,7,77.1367,77.1367,0.0000,54.2733,54.2733,0.0000,1.8652,1.8652,0.0000,5.4837,5.5200,0.0277
1_8,1,8,149.0250,149.0250,0.0000,98.0493,98.0493,0.0000,3.1512,3.1512,0.0000,5.3632,20.8416,19.9133
1_9,1,9,137.2560,137.9596,1.2079,74.5128,75.9195,2.4153,2.5628,2.5980,0.0604,5.9317,28.7245,23.9709
1_10,1,10,147.9430,148.5751,0.4362,95.8851,97.1494,0.8724,3.1471,3.1787,0.0218,5.8877,28.8411,29.5330
1_11,1,11,154.8870,154.9254,0.0386,109.7750,109.8513,0.0774,3.5194,3.5213,0.0019,6.1853,39.5148,35.1036
1_12,1,12,209.1440,212.6901,2.1696,118.2880,125.3802,4.3393,3.9989,4.1762,0.1085,7.4511,33.2713,53.8427
1_13,1,13,210.1660,213.0313,1.8222,120.3320,126.0629,3.6443,4.0000,4.1432,0.0911,7.5310,69.7941,65.3980
1_14,1,14,227.6810,230.1163,1.3167,155.3630,160.2329,2.6331,4.9424,5.0642,0.0658,8.2145,22.7534,45.2322
1_15,1,15,214.9010,217.5700,1.7963,129.8020,135.1401,3.5925,4.2367,4.3702,0.0898,8.5853,53.3697,93.8658
1_16,1,16,219.1380,225.4635,3.0810,138.2770,150.9276,6.1622,4.5652,4.8815,0.1541,8.7405,63.9254,88.4295
1_17,1,17,300.7680,305.9603,2.4640,201.5370,211.9211,4.9279,6.3551,6.6147,0.1232,12.0618,61.2601,102.9594
1_18,1,18,275.0420,277.9014,1.6646,150.0830,155.8027,3.3297,5.0604,5.2034,0.0832,12.3034,132.5851,154.9627
1_19,1,19,236.1020,239.7912,2.8600,172.2030,179.5824,5.7198,5.7384,5.9229,0.1430,9.5395,46.2405,76.8268
1_20,1,20,237.1620,257.2488,14.7471,174.3230,214.4973,29.4941,5.8498,6.8541,0.7374,9.7253,46.6121,77.1118
2_5,2,5,75.5919,75.5919,0.0000,51.1838,51.1838,0.0000,1.5546,1.5546,0.0000,5.2823,5.3503,0.0789
