Instance,M,N,Objective,Distance,Time,TotalIteration,ElapsedTime,AlgFlag
1_5,1,5,82.3347,64.6694,2.04174,1000000,4.80561,3
1_5,1,5,82.3347,64.6694,2.04174,1000000,4.75858,3
1_5,1,5,82.3347,64.6694,2.04174,1000000,4.81359,3
1_5,1,5,82.3347,64.6694,2.04174,1000000,4.71537,3
1_5,1,5,82.3347,64.6694,2.04174,1000000,4.68696,3
1_5,1,5,82.3347,64.6694,2.04174,1000000,4.8161,3
1_5,1,5,82.3347,64.6694,2.04174,1000000,4.73575,3
1_5,1,5,82.3347,64.6694,2.04174,1000000,4.69588,3
1_5,1,5,82.3347,64.6694,2.04174,1000000,4.71516,3
1_5,1,5,82.3347,64.6694,2.04174,1000000,4.73494,3
1_6,1,6,144.559,89.1171,2.69459,1000000,37.942,3
1_6,1,6,144.559,89.1171,2.69459,1000000,37.457,3
1_6,1,6,144.559,89.1171,2.69459,1000000,38.1252,3
1_6,1,6,144.559,89.1171,2.69459,1000000,5.70593,3
1_6,1,6,144.559,89.1171,2.69459,1000000,5.68694,3
1_6,1,6,144.559,89.1171,2.69459,1000000,6.02069,3
1_6,1,6,144.559,89.1171,2.69459,1000000,5.7292,3
1_6,1,6,144.559,89.1171,2.69459,1000000,38.5146,3
1_6,1,6,144.559,89.1171,2.69459,1000000,5.72421,3
1_6,1,6,144.559,89.1171,2.69459,1000000,5.72011,3
1_7,1,7,77.1367,54.2733,1.86517,1000000,5.51901,3
1_7,1,7,77.1367,54.2733,1.86517,1000000,5.57991,3
1_7,1,7,77.1367,54.2733,1.86517,1000000,5.53923,3
1_7,1,7,77.1367,54.2733,1.86517,1000000,5.49633,3
1_7,1,7,77.1367,54.2733,1.86517,1000000,5.50633,3
1_7,1,7,77.1367,54.2733,1.86517,1000000,5.50719,3
1_7,1,7,77.1367,54.2733,1.86517,1000000,5.5405,3
1_7,1,7,77.1367,54.2733,1.86517,1000000,5.48367,3
1_7,1,7,77.1367,54.2733,1.86517,1000000,5.50339,3
1_7,1,7,77.1367,54.2733,1.86517,1000000,5.52407,3
1_8,1,8,149.025,98.0493,3.15123,1000000,5.41183,3
1_8,1,8,149.025,98.0493,3.15123,1000000,43.7819,3
1_8,1,8,149.025,98.0493,3.15123,1000000,5.46603,3
1_8,1,8,149.025,98.0493,3.15123,1000000,5.43177,3
1_8,1,8,149.025,98.0493,3.15123,1000000,43.7426,3
1_8,1,8,149.025,98.0493,3.15123,1000000,5.40213,3
1_8,1,8,149.025,98.0493,3.15123,1000000,44.1654,3
1_8,1,8,149.025,98.0493,3.15123,1000000,5.3632,3
1_8,1,8,149.025,98.0493,3.15123,1000000,44.2228,3
1_8,1,8,149.025,98.0493,3.15123,1000000,5.4285,3
1_9,1,9,138.989,77.9777,2.64944,1000000,5.99875,3
1_9,1,9,137.657,75.3141,2.58285,1000000,6.00074,3
1_9,1,9,137.817,75.6341,2.59085,1000000,51.5976,3
1_9,1,9,137.256,74.5128,2.56282,1000000,51.9562,3
1_9,1,9,141.036,82.0713,2.75178,1000000,51.3093,3
1_9,1,9,137.817,75.6341,2.59085,1000000,5.99703,3
1_9,1,9,137.256,74.5128,2.56282,1000000,51.3292,3
1_9,1,9,137.256,74.5128,2.56282,1000000,51.1296,3
1_9,1,9,137.256,74.5128,2.56282,1000000,5.9317,3
1_9,1,9,137.256,74.5128,2.56282,1000000,5.99516,3
1_10,1,10,148.846,97.6912,3.19228,1000000,62.8028,3
1_10,1,10,147.943,95.8851,3.14713,1000000,63.597,3
1_10,1,10,148.846,97.6912,3.19228,1000000,5.90916,3
1_10,1,10,148.846,97.6912,3.19228,1000000,6.14615,3
1_10,1,10,147.943,95.8851,3.14713,1000000,5.88767,3
1_10,1,10,148.846,97.6912,3.19228,1000000,5.95227,3
1_10,1,10,148.846,97.6912,3.19228,1000000,63.3086,3
1_10,1,10,147.943,95.8851,3.14713,1000000,5.96572,3
1_10,1,10,148.846,97.6912,3.19228,1000000,5.93237,3
1_10,1,10,148.846,97.6912,3.19228,1000000,62.9093,3
1_11,1,11,154.908,109.816,3.5204,1000000,73.7033,3
1_11,1,11,154.908,109.816,3.5204,1000000,6.21101,3
1_11,1,11,154.887,109.775,3.51937,1000000,6.22535,3
1_11,1,11,154.98,109.961,3.52402,1000000,6.18534,3
1_11,1,11,154.98,109.961,3.52402,1000000,72.5631,3
1_11,1,11,154.908,109.816,3.5204,1000000,72.2367,3
1_11,1,11,154.887,109.775,3.51937,1000000,73.2383,3
1_11,1,11,154.908,109.816,3.5204,1000000,72.3314,3
1_11,1,11,154.908,109.816,3.5204,1000000,6.23527,3
1_11,1,11,154.98,109.961,3.52402,1000000,6.2183,3
1_12,1,12,210.815,121.63,4.08242,1000000,8.15996,3
1_12,1,12,212.982,125.963,4.19074,1000000,7.71709,3
1_12,1,12,210.774,121.548,4.08036,1000000,7.7122,3
1_12,1,12,212.244,124.487,4.15385,1000000,7.55822,3
1_12,1,12,212.53,125.06,4.16816,1000000,135.671,3
1_12,1,12,215.993,131.987,4.34134,1000000,7.51012,3
1_12,1,12,215.824,131.648,4.33286,1000000,7.45109,3
1_12,1,12,209.144,118.288,3.99887,1000000,7.7631,3
1_12,1,12,212.656,125.313,4.17448,1000000,135.188,3
1_12,1,12,213.939,127.878,4.23862,1000000,7.98178,3
1_13,1,13,214.969,129.938,4.24011,1000000,131.905,3
1_13,1,13,215.133,130.266,4.24832,1000000,7.83602,3
1_13,1,13,213.057,126.114,4.14452,1000000,7.94463,3
1_13,1,13,213.649,127.298,4.17413,1000000,7.53103,3
1_13,1,13,213.668,127.335,4.17504,1000000,7.82401,3
1_13,1,13,215.01,130.021,4.24218,1000000,132.324,3
1_13,1,13,210.329,120.659,4.00813,1000000,7.63268,3
1_13,1,13,212.166,124.333,4.09999,1000000,131.147,3
1_13,1,13,210.166,120.332,3.99997,1000000,132.639,3
1_13,1,13,212.166,124.333,4.09999,1000000,131.158,3
1_14,1,14,231.426,162.852,5.12963,1000000,8.48064,3
1_14,1,14,230.189,160.378,5.06779,1000000,8.25099,3
1_14,1,14,231.825,163.65,5.14958,1000000,8.21447,3
1_14,1,14,230.556,161.112,5.08613,1000000,8.30404,3
1_14,1,14,229.482,158.965,5.03245,1000000,8.61731,3
1_14,1,14,230.898,161.796,5.10323,1000000,8.58486,3
1_14,1,14,227.681,155.363,4.9424,1000000,8.52258,3
1_14,1,14,230.193,160.386,5.06797,1000000,8.58032,3
1_14,1,14,230.671,161.342,5.09188,1000000,151.486,3
1_14,1,14,228.242,156.485,4.97045,1000000,8.49326,3
1_15,1,15,217.629,135.259,4.37313,1000000,8.7757,3
1_15,1,15,218.263,136.526,4.40481,1000000,9.03805,3
1_15,1,15,217.628,135.255,4.37305,1000000,8.95877,3
1_15,1,15,219.792,139.584,4.48127,1000000,230.339,3
1_15,1,15,215.773,131.546,4.28031,1000000,8.87774,3
1_15,1,15,218.677,137.354,4.4255,1000000,8.58527,3
1_15,1,15,214.901,129.802,4.23671,1000000,8.91194,3
1_15,1,15,220.442,140.884,4.51377,1000000,232.59,3
1_15,1,15,216.822,133.645,4.33279,1000000,8.91871,3
1_15,1,15,215.773,131.546,4.28032,1000000,8.70231,3
1_16,1,16,227.581,155.163,4.98741,1000000,191.676,3
1_16,1,16,219.138,138.277,4.56525,1000000,8.74054,3
1_16,1,16,225.389,150.779,4.8778,1000000,192.531,3
1_16,1,16,221.323,142.646,4.67448,1000000,9.01525,3
1_16,1,16,227.361,154.723,4.9764,1000000,9.33812,3
1_16,1,16,228.38,156.761,5.02735,1000000,192.007,3
1_16,1,16,225.782,151.564,4.89744,1000000,9.00171,3
1_16,1,16,224.256,148.511,4.82112,1000000,8.783,3
1_16,1,16,227.765,155.531,4.9966,1000000,9.00821,3
1_16,1,16,227.66,155.321,4.99136,1000000,9.15349,3
1_17,1,17,307.128,214.256,6.67306,1000000,12.8887,3
1_17,1,17,307.975,215.951,6.71543,1000000,12.7056,3
1_17,1,17,304.13,208.261,6.52319,1000000,12.1997,3
1_17,1,17,306.95,213.9,6.66416,1000000,12.2724,3
1_17,1,17,308.259,216.519,6.72963,1000000,12.921,3
1_17,1,17,304.408,208.816,6.53706,1000000,12.1952,3
1_17,1,17,307.578,215.156,6.69557,1000000,260.793,3
1_17,1,17,304.267,208.534,6.53001,1000000,12.2081,3
1_17,1,17,300.768,201.537,6.35508,1000000,12.0618,3
1_17,1,17,308.14,216.281,6.72369,1000000,252.356,3
1_18,1,18,275.042,150.083,5.06042,1000000,12.8351,3
1_18,1,18,279.712,159.424,5.29393,1000000,304.369,3
1_18,1,18,278.151,156.301,5.21586,1000000,304.485,3
1_18,1,18,279.848,159.696,5.30074,1000000,12.3034,3
1_18,1,18,277.071,154.142,5.1619,1000000,12.6752,3
1_18,1,18,278.161,156.322,5.21638,1000000,12.639,3
1_18,1,18,278.927,157.855,5.2547,1000000,304.199,3
1_18,1,18,279.344,158.689,5.27555,1000000,13.2197,3
1_18,1,18,277.123,154.246,5.16448,1000000,12.9072,3
1_18,1,18,275.635,151.269,5.09007,1000000,336.218,3
1_19,1,19,243.902,187.804,6.12843,1000000,9.74744,3
1_19,1,19,237.03,174.061,5.78485,1000000,9.96763,3
1_19,1,19,238.758,177.516,5.87123,1000000,10.2313,3
1_19,1,19,236.102,172.203,5.73842,1000000,190.837,3
1_19,1,19,242.064,184.128,6.03653,1000000,9.67299,3
1_19,1,19,242.28,184.56,6.04735,1000000,193.173,3
1_19,1,19,236.859,173.718,5.77628,1000000,9.75302,3
1_19,1,19,237.501,175.003,5.80841,1000000,9.75256,3
1_19,1,19,240.743,181.485,5.97047,1000000,9.73104,3
1_19,1,19,242.673,185.346,6.06698,1000000,9.53952,3
1_20,1,20,256.448,212.896,6.81407,1000000,191.677,3
1_20,1,20,266.049,232.098,7.29412,1000000,194.156,3
1_20,1,20,239.041,178.083,5.94373,1000000,10.1299,3
1_20,1,20,237.162,174.323,5.84975,1000000,10.3268,3
1_20,1,20,255.214,210.427,6.75235,1000000,9.7637,3
1_20,1,20,283.657,267.314,8.17451,1000000,9.95885,3
1_20,1,20,271.396,242.791,7.56144,1000000,9.80495,3
1_20,1,20,259.304,218.607,6.95684,1000000,10.1514,3
1_20,1,20,242.479,184.958,6.11562,1000000,10.4269,3
1_20,1,20,261.738,223.476,7.07857,1000000,9.72526,3
2_5,2,5,75.5919,51.1838,1.55459,1000000,5.45732,3
2_5,2,5,75.5919,51.1838,1.55459,1000000,5.31571,3
2_5,2,5,75.5919,51.1838,1.55459,1000000,5.32322,3
2_5,2,5,75.5919,51.1838,1.55459,1000000,5.35103,3
2_5,2,5,75.5919,51.1838,1.55459,1000000,5.35137,3
2_5,2,5,75.5919,51.1838,1.55459,1000000,5.29069,3
2_5,2,5,75.5919,51.1838,1.55459,1000000,5.31766,3
2_5,2,5,75.5919,51.1838,1.55459,1000000,5.52318,3
2_5,2,5,75.5919,51.1838,1.55459,1000000,5.28231,3
2_5,2,5,75.5919,51.1838,1.55459,1000000,5.29087,3
2_6,2,6,68.4019,36.8039,1.3701,1000000,5.76876,3
2_6,2,6,68.4019,36.8039,1.3701,1000000,5.78103,3
2_6,2,6,68.4019,36.8039,1.3701,1000000,5.74038,3
2_6,2,6,68.4019,36.8039,1.3701,1000000,5.77923,3
2_6,2,6,68.4019,36.8039,1.3701,1000000,5.76383,3
2_6,2,6,68.4019,36.8039,1.3701,1000000,5.72688,3
2_6,2,6,68.4019,36.8039,1.3701,1000000,5.7197,3
2_6,2,6,68.4019,36.8039,1.3701,1000000,5.75166,3
