Instance,M,N,ObjBest,ObjMean,ObjStd,DistBest,DistMean,DistStd,TimeBest,TimeMean,TimeStd,ElapseBest,ElapseMean,ElapseStd
1_5,1,5,82.3347,82.3347,0.0000,64.6694,64.6694,0.0000,2.0417,2.0417,0.0000,1.3221,1.3419,0.0271
1_6,1,6,144.5590,144.9105,0.3705,89.1171,89.8209,0.7419,2.6946,2.7122,0.0186,2.1715,2.1979,0.0168
1_7,1,7,77.1367,77.1367,0.0000,54.2733,54.2733,0.0000,1.8652,1.8652,0.0000,1.6862,1.7053,0.0136
1_8,1,8,149.0250,149.0250,0.0000,98.0493,98.0493,0.0000,3.1512,3.1512,0.0000,2.5732,2.6080,0.0292
1_9,1,9,137.2560,137.2560,0.0000,74.5128,74.5128,0.0000,2.5628,2.5628,0.0000,2.7244,2.7746,0.0413
1_10,1,10,147.9430,148.1441,0.4267,95.8851,96.2874,0.8537,3.1471,3.1572,0.0213,2.8927,3.1868,0.3787
1_11,1,11,154.8870,154.8870,0.0000,109.7750,109.7750,0.0000,3.5194,3.5194,0.0000,3.0695,3.4582,0.5243
1_12,1,12,208.1420,209.9386,1.4247,116.2850,119.8771,2.8492,3.9488,4.0386,0.0712,3.4952,3.5783,0.0428
1_13,1,13,207.9150,209.2736,0.7233,115.8300,118.5472,1.4466,3.8874,3.9553,0.0362,3.6252,3.8916,0.7288
1_14,1,14,221.8610,225.3832,1.9034,143.7210,150.7659,3.8071,4.6514,4.8275,0.0952,3.8196,3.9097,0.1896
1_15,1,15,208.5390,209.8978,1.0369,117.0790,119.7962,2.0735,3.9186,3.9866,0.0518,4.0390,4.1344,0.1662
1_16,1,16,214.5940,217.6106,1.1523,129.1890,135.2214,2.3041,4.3381,4.4889,0.0576,4.1562,4.6629,0.7079
1_17,1,17,290.4810,291.6540,0.9198,180.9630,183.3081,1.8398,5.8407,5.8994,0.0460,4.9458,5.1810,0.0884
1_18,1,18,259.7070,262.6089,1.1210,119.4140,125.2175,2.2418,4.2937,4.4388,0.0560,5.1646,5.7676,1.3136
1_19,1,19,225.7430,247.6229,18.9767,123.5830,145.2454,17.5629,4.5229,5.0645,0.4391,4.6884,5.1447,0.4244
1_20,1,20,277.6040,280.7793,2.1609,155.2090,161.5587,4.3216,5.3719,5.5306,0.1080,5.5880,6.1796,1.2648
2_5,2,5,75.5919,75.5919,0.0000,51.1838,51.1838,0.0000,1.5546,1.5546,0.0000,1.3952,1.4624,0.0612
2_6,2,6,68.4019,68.4019,0.0000,36.8039,36.8039,0.0000,1.3701,1.3701,0.0000,1.5445,1.7112,0.1378
2_7,2,7,123.9730,124.9144,0.8102,47.9462,49.8285,1.6200,1.6320,1.6790,0.0405,2.4506,2.5477,0.1165
2_8,2,8,78.4441,78.4441,0.0000,56.8882,56.8882,0.0000,2.0055,2.0055,0.0000,1.9583,1.9694,0.0081
2_9,2,9,76.9759,76.9759,0.0000,53.9518,53.9518,0.0000,1.8988,1.8988,0.0000,2.0878,2.1041,0.0188
2_10,2,10,89.0347,96.5813,14.1827,72.6641,83.1625,6.1557,2.4416,2.7041,0.1539,1.8521,2.1235,0.3325
2_11,2,11,89.4277,103.5378,20.6808,66.8785,77.0757,7.5680,2.3470,2.6019,0.1892,2.1457,2.5425,0.4751
2_12,2,12,139.2020,139.7642,0.4839,78.4043,79.5291,0.9680,2.8101,2.8382,0.0242,3.3105,3.3855,0.1198
2_13,2,13,145.8150,182.3300,17.9265,77.0550,84.6600,7.1995,2.9264,3.1165,0.1800,3.5218,3.8516,0.4259
2_14,2,14,144.7850,148.1513,1.9374,89.5691,96.3023,3.8747,3.2309,3.3992,0.0969,3.7401,4.2937,0.9478
2_15,2,15,140.3510,141.4234,0.6999,80.7013,82.8468,1.4003,2.9342,2.9878,0.0350,3.9336,5.0808,1.7507
2_16,2,16,142.7320,143.8820,1.3234,85.4640,87.7639,2.6466,3.1449,3.2024,0.0662,4.1705,4.5625,0.3971
2_17,2,17,142.0900,144.7914,1.9003,84.1801,89.5826,3.8003,3.2545,3.3896,0.0950,4.3197,4.8377,0.8570
2_18,2,18,151.6130,157.0349,3.3385,103.2270,114.0700,6.6769,3.7473,4.0184,0.1669,4.5807,4.9311,0.5251
