Instance,M,N,Objective,Distance,Time,TotalIteration,ElapsedTime,AlgFlag
1_5,1,5,82.3347,64.6694,2.04174,4560,1.34588,8
1_5,1,5,82.3347,64.6694,2.04174,4560,1.32695,8
1_5,1,5,82.3347,64.6694,2.04174,4560,1.33207,8
1_5,1,5,82.3347,64.6694,2.04174,4560,1.33482,8
1_5,1,5,82.3347,64.6694,2.04174,4560,1.3221,8
1_5,1,5,82.3347,64.6694,2.04174,4560,1.32825,8
1_5,1,5,82.3347,64.6694,2.04174,4560,1.32881,8
1_5,1,5,82.3347,64.6694,2.04174,4560,1.41599,8
1_5,1,5,82.3347,64.6694,2.04174,4560,1.34064,8
1_5,1,5,82.3347,64.6694,2.04174,4560,1.34362,8
1_6,1,6,144.559,89.1171,2.69459,4574,2.19431,8
1_6,1,6,144.559,89.1171,2.69459,4570,2.19846,8
1_6,1,6,145.262,90.5247,2.72979,4573,2.21791,8
1_6,1,6,145.262,90.5247,2.72979,4570,2.21155,8
1_6,1,6,145.262,90.5247,2.72979,4570,2.18043,8
1_6,1,6,145.262,90.5247,2.72979,4570,2.17153,8
1_6,1,6,144.559,89.1171,2.69459,4570,2.20079,8
1_6,1,6,144.559,89.1171,2.69459,4570,2.20366,8
1_6,1,6,145.262,90.5247,2.72979,4570,2.1788,8
1_6,1,6,144.559,89.1171,2.69459,4573,2.22131,8
1_7,1,7,77.1367,54.2733,1.86517,4582,1.69641,8
1_7,1,7,77.1367,54.2733,1.86517,4580,1.69664,8
1_7,1,7,77.1367,54.2733,1.86517,4580,1.72669,8
1_7,1,7,77.1367,54.2733,1.86517,4580,1.68616,8
1_7,1,7,77.1367,54.2733,1.86517,4580,1.68716,8
1_7,1,7,77.1367,54.2733,1.86517,4580,1.71182,8
1_7,1,7,77.1367,54.2733,1.86517,4580,1.70914,8
1_7,1,7,77.1367,54.2733,1.86517,4580,1.72009,8
1_7,1,7,77.1367,54.2733,1.86517,4586,1.71469,8
1_7,1,7,77.1367,54.2733,1.86517,4580,1.70422,8
1_8,1,8,149.025,98.0493,3.15123,4590,2.59089,8
1_8,1,8,149.025,98.0493,3.15123,4590,2.60634,8
1_8,1,8,149.025,98.0493,3.15123,4590,2.57317,8
1_8,1,8,149.025,98.0493,3.15123,4590,2.64539,8
1_8,1,8,149.025,98.0493,3.15123,4591,2.59003,8
1_8,1,8,149.025,98.0493,3.15123,4590,2.60659,8
1_8,1,8,149.025,98.0493,3.15123,4591,2.57791,8
1_8,1,8,149.025,98.0493,3.15123,4597,2.6194,8
1_8,1,8,149.025,98.0493,3.15123,4595,2.6044,8
1_8,1,8,149.025,98.0493,3.15123,4592,2.66613,8
1_9,1,9,137.256,74.5128,2.56282,4603,2.72436,8
1_9,1,9,137.256,74.5128,2.56282,4609,2.7824,8
1_9,1,9,137.256,74.5128,2.56282,4607,2.77517,8
1_9,1,9,137.256,74.5128,2.56282,4611,2.82997,8
1_9,1,9,137.256,74.5128,2.56282,4608,2.77316,8
1_9,1,9,137.256,74.5128,2.56282,4608,2.84861,8
1_9,1,9,137.256,74.5128,2.56282,4600,2.75433,8
1_9,1,9,137.256,74.5128,2.56282,4602,2.72604,8
1_9,1,9,137.256,74.5128,2.56282,4611,2.74048,8
1_9,1,9,137.256,74.5128,2.56282,4605,2.79139,8
1_10,1,10,149.051,98.1024,3.20256,4613,2.9002,8
1_10,1,10,147.943,95.8851,3.14713,6204,3.8532,8
1_10,1,10,147.943,95.8851,3.14713,4835,3.06815,8
1_10,1,10,147.943,95.8851,3.14713,4616,2.89771,8
1_10,1,10,147.943,95.8851,3.14713,4612,2.89959,8
