Instance,M,N,ObjBest,ObjMean,ObjStd,DistBest,DistMean,DistStd,TimeBest,TimeMean,TimeStd,ElapseBest,ElapseMean,ElapseStd
NYC_1_030,1,30,183.6280,184.9644,1.0994,67.2563,69.9289,2.1989,3.4147,3.4816,0.0550,12.9954,13.9063,0.7301
NYC_1_060,1,60,197.3210,199.9577,1.9022,94.6413,99.9154,3.8049,5.3994,5.5312,0.0951,23.4554,27.1774,2.0581
NYC_1_100,1,100,384.0670,387.9606,2.5913,168.1330,175.9210,5.1827,10.0783,10.2730,0.1296,39.2698,46.3429,5.5438
NYC_1_150,1,150,462.1250,466.0887,2.4059,224.2500,232.1774,4.8119,13.0979,13.2961,0.1203,60.1290,83.9558,19.0085
NYC_1_250,1,250,795.2940,803.6755,6.1556,390.5880,407.3511,12.3115,22.6147,23.0338,0.3078,110.4310,159.7503,31.4171
NYC_1_400,1,400,1265.9000,1292.0590,18.2112,630.2060,664.1191,30.5221,37.1968,38.0446,0.7631,207.7030,236.8757,21.5955
NYC_2_030,2,30,178.0640,178.8740,0.6878,56.1271,57.7478,1.3757,2.7532,2.7937,0.0344,12.8184,16.1663,3.2624
NYC_2_060,2,60,200.7020,204.0873,2.1703,101.4040,108.1746,4.3410,5.1434,5.3127,0.1085,24.1370,24.7266,0.4479
NYC_2_100,2,100,367.8600,371.0283,1.7033,135.7190,142.0564,3.4071,8.1596,8.3181,0.0852,38.1116,41.4085,2.0858
NYC_2_150,2,150,508.5350,519.5570,5.7615,217.0700,239.1137,11.5228,12.6517,13.2028,0.2881,57.9593,76.0600,14.2533
NYC_2_250,2,250,754.7320,765.1357,6.0056,309.4630,330.2714,12.0113,19.7116,20.2318,0.3003,126.8730,173.5273,27.7708
NYC_2_400,2,400,1346.2100,1372.2560,13.6941,487.5820,534.5133,28.1613,31.3812,32.5545,0.7040,207.0280,239.1809,28.5782
NYC_3_030,3,30,130.3170,131.3066,0.4698,60.6333,62.6131,0.9398,3.1575,3.2070,0.0235,14.1743,15.8256,1.4156
NYC_3_060,3,60,240.9210,242.6787,1.1337,81.8421,85.3575,2.2673,5.0127,5.1006,0.0567,25.2004,32.4501,5.1818
NYC_3_100,3,100,316.0050,318.8387,1.4527,132.0110,137.6778,2.9053,7.7669,7.9086,0.0726,39.8884,46.0038,7.3048
NYC_3_150,3,150,495.7230,501.9557,3.7139,191.4450,203.9114,7.4283,12.6611,12.9728,0.1857,67.5061,79.0938,11.2360
NYC_3_250,3,250,711.5160,753.4209,15.4031,299.4810,316.8418,9.3050,19.6204,20.0544,0.2326,106.3240,128.6834,14.3873
NYC_3_400,3,400,1242.2300,1263.2050,11.4283,474.5300,516.4071,21.2830,32.4216,33.4685,0.5321,198.9070,281.2917,44.3863
NYC_4_030,4,30,128.5010,129.8496,1.1977,57.0015,59.6989,2.3958,3.0750,3.1425,0.0599,13.8220,14.2000,0.2493
NYC_4_060,4,60,199.4440,200.4887,0.5059,98.8877,100.9777,1.0120,5.2555,5.3078,0.0253,26.4526,30.7493,4.1048
NYC_4_100,4,100,320.0550,321.3188,1.3136,140.1100,142.6374,2.6272,8.5361,8.5993,0.0657,38.7019,42.2679,2.6848
NYC_4_150,4,150,497.9280,502.7026,2.6903,195.8560,205.4051,5.3805,12.4631,12.7018,0.1345,64.3836,78.0767,11.6379
NYC_4_250,4,250,753.1340,762.1901,4.0983,306.2680,324.3803,8.1967,20.2984,20.7512,0.2049,134.5570,174.5544,29.7121
NYC_4_400,4,400,1253.1100,1265.8540,6.9051,506.2190,531.7111,13.8100,33.0805,33.7178,0.3452,200.0710,240.3154,28.6762
NYC_5_030,5,30,124.9760,126.6776,0.7478,49.9513,53.3548,1.4958,3.0154,3.1005,0.0374,14.4160,14.9576,0.5368
NYC_5_060,5,60,192.2780,195.1382,1.4203,84.5551,90.2761,2.8409,4.8472,4.9902,0.0710,24.7966,25.9221,0.6770
NYC_5_100,5,100,362.2910,363.8973,1.0876,124.5830,127.7946,2.1751,8.3229,8.4032,0.0544,38.3135,43.8126,5.2922
NYC_5_150,5,150,497.9370,503.9712,3.8132,195.8750,207.9423,7.6261,12.1552,12.4569,0.1907,61.9999,77.0923,8.1652
NYC_5_250,5,250,815.6140,840.2765,15.5296,283.6450,310.5526,19.8949,19.8745,20.5471,0.4974,117.9920,146.4025,22.7153
NYC_5_400,5,400,1244.5200,1261.5700,9.2046,504.7680,543.1389,35.3040,32.3192,33.2785,0.8826,202.3550,294.3905,71.0696
NYC_6_030,6,30,126.7900,127.7496,0.5828,53.5796,55.4990,1.1654,3.0978,3.1458,0.0291,14.3701,15.2045,0.5405
NYC_6_060,6,60,195.7120,197.5119,1.2442,91.4237,95.0238,2.4882,4.9856,5.0756,0.0622,28.4595,30.0116,1.8637
NYC_6_100,6,100,366.9760,407.9539,14.5551,117.5050,125.9078,5.1150,7.7793,7.9894,0.1279,40.2806,47.1068,5.4346
NYC_6_150,6,150,450.0770,464.0526,15.2406,166.4000,198.1057,21.3269,11.3183,12.1110,0.5332,65.7462,88.2131,21.6282
NYC_6_250,6,250,705.6180,728.4070,16.1667,284.5710,316.8142,24.3644,19.0393,19.8453,0.6091,111.5470,147.6120,33.8344
NYC_6_400,6,400,1195.1300,1203.4040,3.3943,490.2590,506.8094,6.7901,31.3565,31.7702,0.1697,243.2740,314.3423,58.8618
