Instance,M,N,Objective,Distance,Time,TotalIteration,ElapsedTime,AlgFlag
NYC_1_030,1,30,183.628,67.2563,3.41474,20000,14.2898,1
NYC_1_030,1,30,183.8,67.5993,3.42332,20000,15.4146,1
NYC_1_030,1,30,184.005,68.0097,3.43358,20000,14.1845,1
NYC_1_030,1,30,186.179,72.3576,3.54227,20000,13.5029,1
NYC_1_030,1,30,185.381,70.7627,3.5024,20000,13.4139,1
NYC_1_030,1,30,185.545,71.0908,3.5106,20000,13.2577,1
NYC_1_030,1,30,185.535,71.0701,3.51009,20000,14.4514,1
NYC_1_030,1,30,183.628,67.2563,3.41474,20000,12.9954,1
NYC_1_030,1,30,186.559,73.1182,3.56129,20000,14.1715,1
NYC_1_030,1,30,185.384,70.7682,3.50254,20000,13.3816,1
NYC_1_060,1,60,202.077,104.155,5.63721,20000,30.1625,1
NYC_1_060,1,60,199.797,99.5931,5.52316,20000,27.9705,1
NYC_1_060,1,60,198.842,97.6836,5.47542,20000,30.5282,1
NYC_1_060,1,60,198.665,97.3307,5.4666,20000,26.6814,1
NYC_1_060,1,60,201.901,103.802,5.62839,20000,23.4554,1
NYC_1_060,1,60,200.862,101.725,5.57645,20000,25.9384,1
NYC_1_060,1,60,200.214,100.427,5.54401,20000,26.7682,1
NYC_1_060,1,60,197.349,94.6972,5.40076,20000,27.558,1
NYC_1_060,1,60,197.321,94.6413,5.39937,20000,26.5236,1
NYC_1_060,1,60,202.549,105.099,5.6608,20000,26.1874,1
NYC_1_100,1,100,390.784,181.567,10.4142,20000,46.5285,1
NYC_1_100,1,100,387.85,175.699,10.2675,20000,47.9727,1
NYC_1_100,1,100,389.154,178.308,10.3327,20000,43.2314,1
NYC_1_100,1,100,390.383,180.765,10.3941,20000,39.2698,1
NYC_1_100,1,100,385.058,170.116,10.1279,20000,46.6897,1
NYC_1_100,1,100,384.067,168.133,10.0783,20000,39.9341,1
NYC_1_100,1,100,390.033,180.066,10.3767,20000,58.5792,1
NYC_1_100,1,100,390.402,180.805,10.3951,20000,50.6013,1
NYC_1_100,1,100,387.189,174.379,10.2345,20000,44.0833,1
NYC_1_100,1,100,384.686,169.372,10.1093,20000,46.539,1
NYC_1_150,1,150,468.905,237.81,13.4369,20000,101.177,1
NYC_1_150,1,150,465.889,231.779,13.2861,20000,110.625,1
NYC_1_150,1,150,466.245,232.489,13.3039,20000,66.7122,1
NYC_1_150,1,150,462.125,224.25,13.0979,20000,107.803,1
NYC_1_150,1,150,464.032,228.063,13.1932,20000,69.7445,1
NYC_1_150,1,150,464.623,229.245,13.2228,20000,60.129,1
NYC_1_150,1,150,465.531,231.063,13.2682,20000,75.9769,1
NYC_1_150,1,150,464.978,229.957,13.2406,20000,74.7774,1
NYC_1_150,1,150,469.052,238.103,13.4442,20000,71.3163,1
NYC_1_150,1,150,469.507,239.015,13.467,20000,101.297,1
NYC_1_250,1,250,799.269,398.537,22.8134,20000,172.578,1
NYC_1_250,1,250,806.446,412.891,23.1723,20000,110.431,1
NYC_1_250,1,250,806.576,413.153,23.1788,20000,158.857,1
NYC_1_250,1,250,797.423,394.846,22.7212,20000,123.77,1
NYC_1_250,1,250,812.046,424.093,23.4523,20000,166.653,1
NYC_1_250,1,250,803.674,407.348,23.0337,20000,179.219,1
NYC_1_250,1,250,797.236,394.472,22.7118,20000,126.999,1
NYC_1_250,1,250,806.297,412.594,23.1648,20000,210.4,1
NYC_1_250,1,250,795.294,390.588,22.6147,20000,190.157,1
NYC_1_250,1,250,812.494,424.989,23.4747,20000,158.439,1
NYC_1_400,1,400,1277.88,655.765,37.8358,20000,238.378,1
NYC_1_400,1,400,1301.9,703.793,39.0365,20000,237.707,1
NYC_1_400,1,400,1266.28,632.565,37.2558,20000,256.387,1
NYC_1_400,1,400,1301.36,702.717,39.0096,20000,217.492,1
NYC_1_400,1,400,1291.42,682.831,38.5124,20000,263.569,1
NYC_1_400,1,400,1265.9,631.802,37.2367,20000,223.09,1
NYC_1_400,1,400,1315.1,630.206,37.1968,20000,273.552,1
NYC_1_400,1,400,1296.51,693.019,38.7671,20000,207.703,1
NYC_1_400,1,400,1286.34,672.69,38.2589,20000,219.212,1
NYC_1_400,1,400,1317.9,635.803,37.3367,20000,231.667,1
NYC_2_030,2,30,179.635,59.2693,2.83173,20000,23.965,1
NYC_2_030,2,30,179.496,58.992,2.8248,20000,15.1805,1
NYC_2_030,2,30,178.064,56.1271,2.75318,20000,16.3195,1
NYC_2_030,2,30,178.064,56.1271,2.75318,20000,15.0022,1
NYC_2_030,2,30,179.579,59.1587,2.82897,20000,15.8315,1
NYC_2_030,2,30,179.635,59.2693,2.83173,20000,19.3065,1
NYC_2_030,2,30,178.719,57.4383,2.78596,20000,14.0753,1
NYC_2_030,2,30,179.09,58.1804,2.80451,20000,15.5936,1
NYC_2_030,2,30,178.229,56.458,2.76145,20000,13.5704,1
NYC_2_030,2,30,178.229,56.458,2.76145,20000,12.8184,1
