Instance,M,N,ObjBest,ObjMean,ObjStd,DistBest,DistMean,DistStd,TimeBest,TimeMean,TimeStd,ElapseBest,ElapseMean,ElapseStd
NYC_1_030,1,30,191.3650,196.0447,2.2142,82.7291,92.0893,4.4287,3.8016,4.0356,0.1107,12.5508,176.6873,263.4408
NYC_1_060,1,60,233.1890,243.3401,6.3983,166.3790,186.6805,12.7966,7.1928,7.7003,0.3199,20.8902,149.8096,237.8872
NYC_1_100,1,100,470.0060,526.4736,29.1212,339.1550,372.9470,24.6201,14.3539,15.1987,0.6155,42.4623,229.9668,258.7100
NYC_1_150,1,150,635.4530,673.3836,19.5024,440.6220,466.7673,11.0249,18.5072,19.1609,0.2756,65.1501,264.2136,217.0571
NYC_1_250,1,250,1110.1800,1263.7190,61.8523,820.3660,867.4416,35.5948,33.3592,34.5361,0.8899,114.5690,360.6419,179.4832
NYC_1_400,1,400,1883.4600,2203.5010,155.9278,1266.9200,1427.0010,81.9713,53.1147,57.1167,2.0493,228.0250,406.6764,155.9042
NYC_2_030,2,30,182.6310,183.6847,0.6327,65.2625,67.3693,1.2653,2.9816,3.0342,0.0316,12.2036,130.1204,247.6577
NYC_2_060,2,60,232.4520,269.5366,16.0927,149.1660,159.0735,13.0360,6.3375,6.5852,0.3259,21.0574,103.9065,177.0834
NYC_2_100,2,100,450.6620,476.7349,20.3755,282.0180,293.4693,11.5908,11.8171,12.1034,0.2898,44.3815,221.6970,227.3721
NYC_2_150,2,150,723.2370,738.2676,7.8852,446.4750,476.5355,15.7703,18.3869,19.1384,0.3943,69.5275,289.5319,232.8859
NYC_2_250,2,250,1047.4300,1157.6390,51.3324,694.8630,745.2791,34.1707,29.3466,30.6070,0.8543,139.2860,430.6824,208.7157
NYC_2_400,2,400,1992.1200,2084.7010,57.5367,1211.6800,1249.4010,25.5036,49.4837,50.4267,0.6376,208.3370,406.1617,177.3496
NYC_3_030,3,30,135.5170,138.9170,1.6013,71.0342,77.8338,3.2025,3.4175,3.5875,0.0801,11.4060,156.1081,152.3230
NYC_3_060,3,60,225.0430,263.6288,21.9066,147.3950,157.2580,10.8824,6.6515,6.8981,0.2721,25.6235,125.6403,174.4706
NYC_3_100,3,100,387.2870,419.2850,13.1022,238.9880,268.5701,30.9029,10.4414,11.1809,0.7726,42.9096,131.2721,169.2236
NYC_3_150,3,150,614.2040,702.7192,38.2121,414.3260,445.4383,18.8334,18.2332,19.0110,0.4708,81.7188,366.1032,240.6822
NYC_3_250,3,250,1005.8900,1149.8790,54.9478,711.7800,749.7592,17.0747,29.9278,30.8773,0.4269,114.9840,341.8281,197.0249
NYC_3_400,3,400,1926.6100,2085.7810,66.4787,1153.2100,1231.5590,43.2724,49.3887,51.3473,1.0818,219.3560,530.4149,146.9762
NYC_4_030,4,30,136.4070,141.4999,2.7500,72.8147,83.0000,5.5000,3.4704,3.7250,0.1375,11.4673,89.1143,124.6972
NYC_4_060,4,60,231.9850,234.7683,1.5976,163.9700,169.5368,3.1954,6.8826,7.0218,0.0799,21.3640,370.7382,296.1234
NYC_4_100,4,100,391.5080,426.5596,23.1389,279.2220,293.1193,12.2789,12.0139,12.3613,0.3070,42.7093,207.8072,190.9397
NYC_4_150,4,150,714.2730,739.4787,15.5546,414.9980,468.9573,34.1599,17.9416,19.2906,0.8540,69.7980,185.5227,207.5827
NYC_4_250,4,250,1042.0400,1101.8180,36.5180,658.4260,723.6367,42.4386,29.1023,30.7326,1.0610,118.0970,508.5795,197.1515
NYC_4_400,4,400,1808.6200,1975.0500,114.8183,1121.9500,1220.0990,45.5027,48.4737,50.9275,1.1376,210.8490,453.1535,164.6510
NYC_5_030,5,30,138.8410,141.1510,1.6789,77.6814,82.3021,3.3581,3.7087,3.8242,0.0840,11.3715,55.2281,91.9473
NYC_5_060,5,60,225.9280,248.4629,16.2196,126.1100,156.9257,26.2138,5.8861,6.6565,0.6553,24.2246,158.2557,234.2679
NYC_5_100,5,100,446.5110,470.3053,18.4085,260.6870,280.6106,16.1718,11.7255,12.2236,0.4043,39.9359,172.1093,187.0893
NYC_5_150,5,150,681.5180,704.6185,16.0017,414.1660,449.2369,24.5451,17.6125,18.4892,0.6136,88.7450,333.7374,208.5595
NYC_5_250,5,250,1138.0900,1271.8750,73.4595,705.5860,753.7486,35.3781,30.4230,31.6271,0.8845,147.9350,452.4328,207.0278
NYC_5_400,5,400,1857.8900,1972.1180,79.1290,1115.7900,1214.2380,60.7017,47.5947,50.0559,1.5176,244.3400,505.7650,130.7888
NYC_6_030,6,30,134.6420,135.9681,0.5088,69.2844,71.9361,1.0172,3.4904,3.5567,0.0254,11.4574,169.8323,166.7923
NYC_6_060,6,60,224.2920,231.3596,4.6894,148.5830,162.7192,9.3790,6.4146,6.7680,0.2345,21.4611,485.1371,242.3324
NYC_6_100,6,100,483.8130,489.0728,3.7140,267.6260,278.1453,7.4279,11.5323,11.7953,0.1857,43.8421,276.3081,254.7364
NYC_6_150,6,150,607.0440,638.6888,20.9136,386.3910,407.3774,10.2103,16.8181,17.3427,0.2553,81.4893,314.7627,251.1219
NYC_6_250,6,250,1030.7900,1098.2170,42.6858,673.5300,716.4343,35.8685,28.7633,29.8359,0.8967,113.9520,295.1455,150.7575
NYC_6_400,6,400,1654.1300,1884.0810,125.6137,1108.2700,1168.1620,31.3529,46.8067,48.3041,0.7838,400.1860,566.2612,77.4084
