Instance,M,N,Objective,Distance,Time,TotalIteration,ElapsedTime,AlgFlag
NYC_1_030,1,30,196.949,93.8989,4.08081,1000000,13.088,3
NYC_1_030,1,30,196.139,92.2782,4.04029,1000000,13.0045,3
NYC_1_030,1,30,196.764,93.5273,4.07152,1000000,557.93,3
NYC_1_030,1,30,197.997,95.9939,4.13318,1000000,13.1565,3
NYC_1_030,1,30,197.052,94.1048,4.08595,1000000,13.0638,3
NYC_1_030,1,30,193.974,87.9472,3.93201,1000000,12.9412,3
NYC_1_030,1,30,191.365,82.7291,3.80156,1000000,564.964,3
NYC_1_030,1,30,194.136,88.2724,3.94014,1000000,13.7941,3
NYC_1_030,1,30,197.721,95.4425,4.1194,1000000,552.38,3
NYC_1_030,1,30,198.35,96.6991,4.15081,1000000,12.5508,3
NYC_1_060,1,60,233.189,166.379,7.1928,1000000,21.6027,3
NYC_1_060,1,60,247.533,195.066,7.90999,1000000,61.5881,3
NYC_1_060,1,60,246.294,192.589,7.84806,383800,600.07,3
NYC_1_060,1,60,248.698,197.395,7.96821,1000000,23.1135,3
NYC_1_060,1,60,235.351,170.702,7.30088,1000000,20.8902,3
NYC_1_060,1,60,244.81,189.621,7.77385,1000000,32.575,3
NYC_1_060,1,60,242.436,184.872,7.65513,1000000,21.3767,3
NYC_1_060,1,60,248.576,197.153,7.96216,1000000,61.2752,3
NYC_1_060,1,60,235.636,171.272,7.31512,399400,600.058,3
NYC_1_060,1,60,250.878,201.756,8.07722,1000000,55.5467,3
NYC_1_100,1,100,470.006,340.013,14.3753,1000000,50.4533,3
NYC_1_100,1,100,480.256,360.512,14.8878,51300,600.012,3
NYC_1_100,1,100,553.876,407.752,16.0688,1000000,66.9905,3
NYC_1_100,1,100,539.863,379.725,15.3681,52000,600.513,3
NYC_1_100,1,100,532.348,364.696,14.9924,1000000,46.7251,3
NYC_1_100,1,100,519.578,339.155,14.3539,1000000,179.905,3
NYC_1_100,1,100,555.809,411.617,16.1654,44800,600.775,3
NYC_1_100,1,100,543.075,386.15,15.5288,1000000,59.5089,3
NYC_1_100,1,100,532.206,364.412,14.9853,1000000,52.3227,3
NYC_1_100,1,100,537.719,375.438,15.261,1000000,42.4623,3
NYC_1_150,1,150,670.311,440.622,18.5072,1000000,265.406,3
NYC_1_150,1,150,639.818,479.635,19.4826,1000000,126.427,3
NYC_1_150,1,150,680.425,460.85,19.0129,1000000,65.1501,3
NYC_1_150,1,150,681.811,463.621,19.0822,1000000,279.601,3
NYC_1_150,1,150,635.453,470.906,19.2643,1000000,458.663,3
NYC_1_150,1,150,686.386,472.772,19.311,31500,601.054,3
NYC_1_150,1,150,684.42,468.841,19.2127,23300,600.886,3
NYC_1_150,1,150,688.02,476.041,19.3927,1000000,99.9867,3
NYC_1_150,1,150,680.95,461.9,19.0392,1000000,66.9686,3
NYC_1_150,1,150,686.242,472.485,19.3038,1000000,77.9935,3
NYC_1_250,1,250,1307.52,915.048,35.7262,1000000,125.458,3
NYC_1_250,1,250,1273.85,847.706,34.0427,1000000,478.388,3
NYC_1_250,1,250,1263.53,827.06,33.5265,1000000,198.455,3
NYC_1_250,1,250,1110.18,820.366,33.3592,1000000,327.526,3
NYC_1_250,1,250,1253.49,906.982,35.5246,15100,602.344,3
NYC_1_250,1,250,1300.08,900.163,35.3541,1000000,114.569,3
NYC_1_250,1,250,1265.32,830.642,33.616,21200,604.732,3
NYC_1_250,1,250,1298.3,896.596,35.2649,1000000,351.886,3
NYC_1_250,1,250,1334.94,869.89,34.5972,1000000,476.959,3
NYC_1_250,1,250,1229.98,859.963,34.3491,1000000,326.102,3
NYC_1_400,1,400,2311.69,1423.38,57.0261,1000000,235.37,3
NYC_1_400,1,400,1883.46,1266.92,53.1147,1000000,266.312,3
NYC_1_400,1,400,2117.95,1435.91,57.3393,1000000,264.269,3
NYC_1_400,1,400,2326.51,1553.02,60.2671,1000000,461.601,3
NYC_1_400,1,400,2165.83,1431.66,57.2331,1000000,384.652,3
NYC_1_400,1,400,2287.03,1474.06,58.2932,20100,602.138,3
NYC_1_400,1,400,2322.45,1444.9,57.564,1000000,422.305,3
NYC_1_400,1,400,2318.07,1436.14,57.3452,1000000,228.025,3
NYC_1_400,1,400,2007.73,1315.45,54.328,15000,601.599,3
NYC_1_400,1,400,2294.29,1488.57,58.656,17100,600.493,3
NYC_2_030,2,30,182.804,65.6077,2.99019,1000000,12.4398,3
NYC_2_030,2,30,182.631,65.2625,2.98156,1000000,13.3401,3
NYC_2_030,2,30,184.328,68.656,3.0664,1000000,12.4693,3
NYC_2_030,2,30,183.928,67.8563,3.04641,680200,600.025,3
NYC_2_030,2,30,184.17,68.3398,3.0585,1000000,12.2036,3
NYC_2_030,2,30,183.182,66.3642,3.00911,1000000,12.4917,3
NYC_2_030,2,30,183.724,67.4477,3.03619,691800,600.01,3
NYC_2_030,2,30,183.592,67.1831,3.02958,1000000,12.5814,3
NYC_2_030,2,30,184.489,68.9775,3.07444,1000000,12.8262,3
NYC_2_030,2,30,183.999,67.9986,3.04996,1000000,12.8168,3
NYC_2_060,2,60,278.377,156.755,6.5272,1000000,26.0594,3
NYC_2_060,2,60,247.137,194.274,7.46517,364500,600.005,3
