Instance,M,N,ObjBest,ObjMean,ObjStd,DistBest,DistMean,DistStd,TimeBest,TimeMean,TimeStd,ElapseBest,ElapseMean,ElapseStd
NYC_1_030,1,30,185.3560,187.6182,1.7930,70.7128,75.2365,3.5863,3.5011,3.6142,0.0897,7.6186,8.6788,1.0973
NYC_1_060,1,60,224.7740,249.4415,8.8157,95.7333,108.8831,14.6467,5.4267,5.7554,0.3662,16.6686,25.3496,10.6817
NYC_1_100,1,100,438.6510,452.9739,17.6219,170.1790,185.9477,10.7652,10.1295,10.5237,0.2691,41.9633,70.9823,26.6782
NYC_1_150,1,150,553.1560,586.5401,25.4424,206.3120,223.0805,9.8206,12.6495,13.0687,0.2455,102.4780,174.9222,57.2325
NYC_1_250,1,250,981.2540,1017.6035,17.5498,327.2650,355.2061,15.1829,21.0316,21.7301,0.3796,459.1410,547.0334,31.0107
NYC_1_400,1,400,1585.9300,1632.7230,34.1452,517.1190,545.4447,22.4951,34.3696,35.0778,0.5624,600.0020,600.0294,0.0251
NYC_2_030,2,30,179.5790,180.7579,0.8017,59.1587,61.5161,1.6034,2.8290,2.8879,0.0401,7.8259,9.2333,2.3806
NYC_2_060,2,60,248.9700,250.6119,1.0530,97.9393,101.2237,2.1060,5.0568,5.1389,0.0526,18.5469,31.6189,16.2384
NYC_2_100,2,100,419.5390,424.7149,2.7350,139.0780,149.4300,5.4699,8.2436,8.5024,0.1367,48.9169,85.9047,33.8395
NYC_2_150,2,150,601.8410,626.7026,19.4959,188.6790,213.4051,17.5681,11.9420,12.5601,0.4392,102.4500,190.6113,45.1004
NYC_2_250,2,250,890.8080,952.7831,35.0752,263.6090,285.5664,14.9392,18.5652,19.1142,0.3735,402.9580,535.0365,53.3705
NYC_2_400,2,400,1473.5900,1541.9330,37.3518,409.2400,433.8689,15.3448,29.4227,30.0384,0.3836,600.0060,600.0286,0.0190
NYC_3_030,3,30,132.4510,133.3125,0.6737,64.9022,66.6249,1.3473,3.2642,3.3073,0.0337,7.9247,10.6502,3.0519
NYC_3_060,3,60,245.4340,247.3145,1.1031,90.8673,94.6290,2.2066,5.2383,5.3324,0.0552,18.8438,26.0469,6.0065
NYC_3_100,3,100,363.4520,367.2877,3.0047,126.9030,134.5756,6.0091,7.6392,7.8311,0.1502,40.9929,83.4519,29.7826
NYC_3_150,3,150,592.7700,624.0399,21.8575,174.3740,188.0795,10.4024,12.2343,12.5770,0.2601,94.2190,173.3214,52.6033
NYC_3_250,3,250,892.7600,930.0025,23.1008,276.6700,290.0053,10.4811,19.0501,19.3835,0.2620,374.1730,494.0207,83.1258
NYC_3_400,3,400,1497.1800,1533.1720,22.8805,366.8130,396.3433,14.9120,29.7287,30.4669,0.3728,600.0050,600.0442,0.0203
NYC_4_030,4,30,134.8960,162.8223,20.7940,52.6344,65.6448,11.0912,2.9659,3.2911,0.2773,7.9883,9.1660,1.9798
NYC_4_060,4,60,206.1310,209.5227,2.6205,112.2620,119.0455,5.2408,5.5899,5.7595,0.1310,18.2263,31.3982,8.9174
NYC_4_100,4,100,373.3160,386.6952,16.6714,131.0200,153.3903,12.3966,8.3088,8.8681,0.3099,38.3148,71.0002,27.0230
NYC_4_150,4,150,599.2100,625.5674,21.1870,185.5150,201.1352,15.7142,12.2045,12.5950,0.3929,118.7320,165.9558,44.2504
NYC_4_250,4,250,883.7150,969.6055,38.1029,250.2730,279.2104,15.3678,18.8985,19.6219,0.3842,455.8330,563.5587,48.6856
NYC_4_400,4,400,1506.6500,1604.4670,44.6678,391.4970,408.9374,10.4775,30.2124,30.6484,0.2619,600.0030,600.0301,0.0199
NYC_5_030,5,30,128.8750,142.4405,16.9593,46.8175,64.8811,12.7201,2.9371,3.3887,0.3180,9.3031,11.1219,2.2614
NYC_5_060,5,60,239.8020,243.3229,2.0154,79.6039,86.6458,4.0306,4.7234,4.8995,0.1008,26.5149,40.3899,12.5068
NYC_5_100,5,100,374.3320,417.1940,15.3018,132.7800,144.3882,5.6223,8.5278,8.8180,0.1406,49.6358,85.0039,38.9158
NYC_5_150,5,150,592.5200,618.6027,20.6155,174.8680,197.2057,17.9955,11.6300,12.1885,0.4499,112.7080,186.8167,70.6817
NYC_5_250,5,250,1031.0200,1065.2330,22.4712,235.0970,260.4646,10.9292,18.6608,19.2949,0.2732,445.0980,558.4347,58.2664
NYC_5_400,5,400,1507.0100,1551.5450,34.5389,372.8820,403.0916,16.1848,29.0221,29.7773,0.4046,600.0010,600.0275,0.0224
NYC_6_030,6,30,128.4460,130.4467,1.3488,56.8922,60.8937,2.6973,3.1806,3.2807,0.0674,9.1271,12.7018,4.0504
NYC_6_060,6,60,203.1320,209.6635,3.8718,106.2640,119.3272,7.7437,5.3566,5.6832,0.1936,20.6811,25.1818,5.6909
NYC_6_100,6,100,422.0630,427.2580,3.4696,144.1260,154.5159,6.9391,8.4448,8.7046,0.1735,51.3294,83.5379,32.6985
NYC_6_150,6,150,534.9180,550.4617,18.1026,162.8260,180.9236,15.4541,11.2290,11.6814,0.3864,118.7360,187.8088,53.8882
NYC_6_250,6,250,870.4770,910.1853,25.4704,240.9550,260.3706,10.7546,17.9489,18.4343,0.2689,447.4360,547.0080,62.1931
NYC_6_400,6,400,1437.0000,1475.5460,27.3769,354.3680,371.0930,13.3373,27.9592,28.3773,0.3334,600.0010,600.0355,0.0210
