Instance,M,N,Objective,Distance,Time,TotalIteration,ElapsedTime,AlgFlag
NYC_1_030,1,30,186.801,73.6019,3.57338,5084,7.99035,8
NYC_1_030,1,30,187.939,75.8787,3.6303,4890,8.46541,8
NYC_1_030,1,30,189.985,79.971,3.73261,4833,8.01783,8
NYC_1_030,1,30,188.298,76.5967,3.64825,6213,9.66358,8
NYC_1_030,1,30,189.809,79.6175,3.72377,5362,8.36754,8
NYC_1_030,1,30,185.846,71.691,3.52561,5018,7.94083,8
NYC_1_030,1,30,189.757,79.5146,3.7212,7046,10.8667,8
NYC_1_030,1,30,185.356,70.7128,3.50115,5106,7.87184,8
NYC_1_030,1,30,185.738,71.4757,3.52023,4989,7.61861,8
NYC_1_030,1,30,186.653,73.305,3.56596,6397,9.98537,8
NYC_1_060,1,60,253.541,107.083,5.7104,16126,52.322,8
NYC_1_060,1,60,252.703,105.406,5.66849,6934,23.2244,8
NYC_1_060,1,60,247.867,95.7333,5.42667,6165,20.248,8
NYC_1_060,1,60,252.512,105.025,5.65895,5945,19.0522,8
NYC_1_060,1,60,251.833,103.666,5.62498,9052,29.454,8
NYC_1_060,1,60,224.774,149.547,6.77202,5261,16.6686,8
NYC_1_060,1,60,252.916,105.831,5.67912,6171,20.5999,8
NYC_1_060,1,60,253.231,106.463,5.6949,5534,18.6204,8
NYC_1_060,1,60,252.007,104.015,5.6337,6499,20.9203,8
NYC_1_060,1,60,253.031,106.062,5.68489,10277,32.3864,8
NYC_1_100,1,100,444.806,189.611,10.6153,17283,109.106,8
NYC_1_100,1,100,486.199,172.398,10.1849,15060,100.235,8
NYC_1_100,1,100,485.089,170.179,10.1295,6814,43.5647,8
NYC_1_100,1,100,439.774,179.549,10.3637,13294,84.2009,8
NYC_1_100,1,100,449.508,199.017,10.8504,10051,60.0716,8
NYC_1_100,1,100,438.651,177.302,10.3075,7278,46.7922,8
NYC_1_100,1,100,444.808,189.615,10.6154,6622,41.9633,8
NYC_1_100,1,100,449.797,199.594,10.8649,9680,58.6272,8
NYC_1_100,1,100,448.245,196.489,10.7872,16726,107.122,8
NYC_1_100,1,100,442.862,185.723,10.5181,9399,58.1405,8
NYC_1_150,1,150,610.059,220.119,12.9946,20000,233.571,8
NYC_1_150,1,150,611.956,223.913,13.0895,8574,102.865,8
