Instance,m,n,Objective,Distance,Time,TotalIteration,ElapsedTime,AlgFlag
2_5,2,5,75.5919,51.1838,1.55459,20000,2.38025,1
2_5,2,5,75.5919,51.1838,1.55459,20000,2.36346,1
2_5,2,5,75.5919,51.1838,1.55459,20000,2.34484,1
2_5,2,5,75.5919,51.1838,1.55459,20000,2.34622,1
2_5,2,5,75.5919,51.1838,1.55459,20000,2.33661,1
2_5,2,5,75.5919,51.1838,1.55459,20000,2.45619,1
2_5,2,5,75.5919,51.1838,1.55459,20000,2.35045,1
2_5,2,5,75.5919,51.1838,1.55459,20000,2.45247,1
2_5,2,5,75.5919,51.1838,1.55459,20000,2.54078,1
2_5,2,5,75.5919,51.1838,1.55459,20000,2.46693,1
2_6,2,6,68.4019,36.8039,1.3701,20000,2.65802,1
2_6,2,6,68.4019,36.8039,1.3701,20000,2.63204,1
2_6,2,6,68.4019,36.8039,1.3701,20000,2.60159,1
2_6,2,6,68.4019,36.8039,1.3701,20000,2.61201,1
2_6,2,6,68.4019,36.8039,1.3701,20000,2.56695,1
2_6,2,6,68.4019,36.8039,1.3701,20000,2.55462,1
2_6,2,6,68.4019,36.8039,1.3701,20000,2.56318,1
2_6,2,6,68.4019,36.8039,1.3701,20000,2.60392,1
2_6,2,6,68.4019,36.8039,1.3701,20000,2.58097,1
2_6,2,6,68.4019,36.8039,1.3701,20000,2.60754,1
2_7,2,7,125.542,51.0834,1.71042,20000,3.98263,1
2_7,2,7,125.542,51.0834,1.71042,20000,4.02515,1
2_7,2,7,125.542,51.0834,1.71042,20000,3.99177,1
2_7,2,7,125.542,51.0834,1.71042,20000,3.96965,1
2_7,2,7,125.542,51.0834,1.71042,20000,3.96754,1
2_7,2,7,125.542,51.0834,1.71042,20000,4.0776,1
2_7,2,7,125.542,51.0834,1.71042,20000,4.47604,1
2_7,2,7,125.542,51.0834,1.71042,20000,3.9766,1
2_7,2,7,125.542,51.0834,1.71042,20000,4.16425,1
2_7,2,7,125.542,51.0834,1.71042,20000,3.95118,1
2_8,2,8,78.4441,56.8882,2.00554,20000,3.12334,1
2_8,2,8,78.4441,56.8882,2.00554,20000,3.1023,1
2_8,2,8,78.4441,56.8882,2.00554,20000,3.11062,1
2_8,2,8,78.4441,56.8882,2.00554,20000,3.06705,1
2_8,2,8,78.4441,56.8882,2.00554,20000,3.04939,1
2_8,2,8,78.4441,56.8882,2.00554,20000,3.0887,1
2_8,2,8,78.4441,56.8882,2.00554,20000,3.06329,1
2_8,2,8,78.4441,56.8882,2.00554,20000,3.09466,1
2_8,2,8,78.4441,56.8882,2.00554,20000,3.06597,1
2_8,2,8,78.4441,56.8882,2.00554,20000,3.08941,1
2_9,2,9,76.9759,53.9518,1.89879,20000,3.39443,1
2_9,2,9,76.9759,53.9518,1.89879,20000,3.33657,1
2_9,2,9,76.9759,53.9518,1.89879,20000,3.34213,1
2_9,2,9,76.9759,53.9518,1.89879,20000,3.37527,1
2_9,2,9,76.9759,53.9518,1.89879,20000,3.38294,1
2_9,2,9,76.9759,53.9518,1.89879,20000,3.3652,1
2_9,2,9,76.9759,53.9518,1.89879,20000,3.35818,1
2_9,2,9,76.9759,53.9518,1.89879,20000,3.35171,1
2_9,2,9,76.9759,53.9518,1.89879,20000,3.34131,1
2_9,2,9,76.9759,53.9518,1.89879,20000,3.38735,1
2_10,2,10,89.0347,78.0695,2.57674,20000,3.42426,1
2_10,2,10,89.0347,78.0695,2.57674,20000,3.47148,1
2_10,2,10,89.0347,78.0695,2.57674,20000,3.43566,1
2_10,2,10,89.0347,78.0695,2.57674,20000,3.47679,1
2_10,2,10,89.0347,78.0695,2.57674,20000,3.4375,1
2_10,2,10,89.0347,78.0695,2.57674,20000,3.52996,1
2_10,2,10,89.0347,78.0695,2.57674,20000,3.50067,1
2_10,2,10,89.0347,78.0695,2.57674,20000,3.81003,1
2_10,2,10,89.0347,78.0695,2.57674,20000,3.54979,1
2_10,2,10,89.0347,78.0695,2.57674,20000,3.45385,1
2_11,2,11,89.4277,78.8554,2.64638,20000,3.62754,1
2_11,2,11,89.4277,78.8554,2.64638,20000,3.61267,1
2_11,2,11,89.4277,78.8554,2.64638,20000,3.65013,1
2_11,2,11,89.4277,78.8554,2.64638,20000,3.65308,1
2_11,2,11,89.4277,78.8554,2.64638,20000,3.61481,1
2_11,2,11,89.4277,78.8554,2.64638,20000,3.64089,1
2_11,2,11,89.4277,78.8554,2.64638,20000,3.64671,1
2_11,2,11,89.4277,78.8554,2.64638,20000,3.65267,1
2_11,2,11,89.4277,78.8554,2.64638,20000,3.63958,1
2_11,2,11,89.4277,78.8554,2.64638,20000,3.64568,1
2_12,2,12,139.202,78.4043,2.81011,20000,6.49923,1
2_12,2,12,139.202,78.4043,2.81011,20000,6.52807,1
2_12,2,12,139.202,78.4043,2.81011,20000,6.3954,1
2_12,2,12,139.202,78.4043,2.81011,20000,6.474,1
2_12,2,12,139.202,78.4043,2.81011,20000,6.52229,1
2_12,2,12,139.202,78.4043,2.81011,20000,6.48463,1
2_12,2,12,139.202,78.4043,2.81011,20000,6.41381,1
2_12,2,12,139.202,78.4043,2.81011,20000,6.482,1
2_12,2,12,139.202,78.4043,2.81011,20000,6.45144,1
2_12,2,12,139.202,78.4043,2.81011,20000,6.80451,1
2_13,2,13,143.622,87.2442,3.1811,20000,6.78733,1
2_13,2,13,143.433,86.8665,3.17166,20000,6.79809,1
2_13,2,13,143.788,87.5763,3.18941,20000,6.75055,1
2_13,2,13,143.788,87.5763,3.18941,20000,6.79574,1
2_13,2,13,143.788,87.5763,3.18941,20000,6.82402,1
2_13,2,13,143.788,87.5763,3.18941,20000,6.78191,1
2_13,2,13,143.788,87.5763,3.18941,20000,6.82107,1
2_13,2,13,143.788,87.5763,3.18941,20000,6.85177,1
2_13,2,13,143.433,86.8665,3.17166,20000,6.78483,1
2_13,2,13,141.528,83.0556,3.07639,20000,6.7325,1
2_14,2,14,143.885,87.7693,3.1859,20000,7.07445,1
2_14,2,14,143.885,87.7693,3.1859,20000,7.73177,1
2_14,2,14,143.885,87.7693,3.1859,20000,7.14997,1
2_14,2,14,143.885,87.7693,3.1859,20000,7.26418,1
2_14,2,14,143.885,87.7693,3.1859,20000,7.20074,1
2_14,2,14,143.885,87.7693,3.1859,20000,7.20181,1
2_14,2,14,143.885,87.7693,3.1859,20000,7.23627,1
2_14,2,14,143.885,87.7693,3.1859,20000,7.24127,1
2_14,2,14,143.885,87.7693,3.1859,20000,7.13586,1
2_14,2,14,143.885,87.7693,3.1859,20000,7.19953,1
2_15,2,15,140.127,80.2533,2.923,20000,7.71864,1
2_15,2,15,140.127,80.2533,2.923,20000,7.8163,1
2_15,2,15,140.127,80.2533,2.923,20000,7.75587,1
2_15,2,15,140.127,80.2533,2.923,20000,7.68258,1
2_15,2,15,140.127,80.2533,2.923,20000,7.53632,1
2_15,2,15,140.127,80.2533,2.923,20000,7.78432,1
2_15,2,15,140.127,80.2533,2.923,20000,7.58902,1
2_15,2,15,140.127,80.2533,2.923,20000,7.83254,1
2_15,2,15,140.127,80.2533,2.923,20000,7.75307,1
2_15,2,15,140.127,80.2533,2.923,20000,7.56067,1
2_16,2,16,143.752,87.505,3.19596,20000,8.42188,1
2_16,2,16,143.752,87.505,3.19596,20000,7.8493,1
2_16,2,16,142.732,85.464,3.14493,20000,7.87082,1
2_16,2,16,142.732,85.464,3.14493,20000,7.87823,1
2_16,2,16,142.732,85.464,3.14493,20000,7.95468,1
2_16,2,16,142.732,85.464,3.14493,20000,7.78505,1
2_16,2,16,142.732,85.464,3.14493,20000,7.81971,1
2_16,2,16,142.732,85.464,3.14493,20000,8.45521,1
2_16,2,16,143.752,87.505,3.19596,20000,8.30729,1
2_16,2,16,142.732,85.464,3.14493,20000,7.85309,1
2_17,2,17,142.864,85.7279,3.2932,20000,8.77742,1
2_17,2,17,144.269,88.5375,3.36344,20000,8.79638,1
2_17,2,17,142.09,84.1801,3.2545,20000,8.3258,1
2_17,2,17,143.843,87.6864,3.34216,20000,8.32129,1
2_17,2,17,142.864,85.7279,3.2932,20000,8.94492,1
2_17,2,17,142.09,84.1801,3.2545,20000,8.50395,1
2_17,2,17,142.09,84.1801,3.2545,20000,8.69939,1
2_17,2,17,144.334,88.6678,3.36669,20000,8.79216,1
2_17,2,17,142.09,84.1801,3.2545,20000,8.75162,1
2_17,2,17,143.843,87.6864,3.34216,20000,8.36519,1
2_18,2,18,150.315,100.63,3.68242,20000,8.46092,1
2_18,2,18,150.121,100.243,3.67274,20000,9.0227,1
2_18,2,18,151.613,103.227,3.74734,20000,8.6992,1
2_18,2,18,151.613,103.227,3.74734,20000,8.98102,1
2_18,2,18,150.315,100.63,3.68242,20000,8.4414,1
2_18,2,18,151.613,103.227,3.74734,20000,8.69135,1
2_18,2,18,151.137,102.275,3.72354,20000,8.56843,1
2_18,2,18,150.121,100.243,3.67274,20000,8.5285,1
