Instance,M,N,return to same depot,No limit,delta,imp (%),improvement
2_5,2,5,75.5919,75.5919,0,0,0
2_6,2,6,72.8295,68.4019,-4.4276,-6.08,0.060794046
2_7,2,7,123.973,123.973,0,0,0
2_8,2,8,80.6856,78.4441,-2.2415,-2.78,0.02778067
2_9,2,9,79.9793,76.9759,-3.0034,-3.76,0.037552217
2_10,2,10,90.845,89.0347,-1.8103,-1.99,0.019927349
2_11,2,11,88.7719,88.7719,0,0,0
2_12,2,12,142.77,139.202,-3.568,-2.5,0.024991245
2_13,2,13,142.54,141.528,-1.012,-0.71,0.007099761
2_14,2,14,148.166,143.885,-4.281,-2.89,0.028893268
2_15,2,15,142.673,140.127,-2.546,-1.78,0.017845002
2_16,2,16,145.462,142.732,-2.73,-1.88,0.018767788
2_17,2,17,144.269,142.09,-2.179,-1.51,0.01510373
2_18,2,18,150.943,150.121,-0.822,-0.54,0.005445764
2_19,2,19,262.599,260.083,-2.516,-0.96,0.009581148
2_20,2,20,155.571,155.571,0,0,0
3_5,3,5,75.3049,70.7504,-4.5545,-6.05,0.060480792
3_6,3,6,131.693,131.693,0,0,0
3_7,3,7,75.2616,75.158,-0.1036,-0.14,0.001376532
3_8,3,8,130.595,127.795,-2.8,-2.14,0.021440331
3_9,3,9,127.302,126.755,-0.547,-0.43,0.004296869
3_10,3,10,141.138,139.567,-1.571,-1.11,0.01113095
3_11,3,11,129.193,128.049,-1.144,-0.89,0.008854969
3_12,3,12,144.437,139.369,-5.068,-3.51,0.035087962
3_13,3,13,134.191,131.445,-2.746,-2.05,0.020463369
3_14,3,14,141.257,139.758,-1.499,-1.06,0.010611863
3_15,3,15,196.736,193.277,-3.459,-1.76,0.017581937
3_16,3,16,151.444,146.99,-4.454,-2.94,0.029410211
3_17,3,17,198.754,195.446,-3.308,-1.66,0.01664369
3_18,3,18,198.598,197.599,-0.999,-0.5,0.005030262
3_19,3,19,197.362,196.829,-0.533,-0.27,0.002700621
3_20,3,20,203.353,197.101,-6.252,-3.07,0.030744567
4_5,4,5,69.3906,67.3024,-2.0882,-3.01,0.030093413
4_6,4,6,80.947,78.0244,-2.9226,-3.61,0.036105106
4_7,4,7,79.8122,78.1791,-1.6331,-2.05,0.020461784
4_8,4,8,71.5774,69.6393,-1.9381,-2.71,0.027076982
4_9,4,9,136.426,133.777,-2.649,-1.94,0.01941712
4_10,4,10,137.768,135.094,-2.674,-1.94,0.019409442
4_11,4,11,131.492,131.347,-0.145,-0.11,0.001102729
4_12,4,12,132.507,132.337,-0.17,-0.13,0.001282951
4_13,4,13,142.046,137.106,-4.94,-3.48,0.034777466
4_14,4,14,192.355,188.982,-3.373,-1.75,0.017535286
4_15,4,15,140.885,139.143,-1.742,-1.24,0.012364695
4_16,4,16,146.27,141.963,-4.307,-2.94,0.029445546
4_17,4,17,143.262,140.538,-2.724,-1.9,0.019014114
4_18,4,18,147.66,143.261,-4.399,-2.98,0.029791413
